146	224
145	224
145	227
144	227
144	229
143	229
143	230
142	230
142	231
141	231
141	232
140	232
140	233
138	233
138	234
136	234
136	235
129	235
129	234
127	234
127	233
125	233
125	232
124	232
124	231
123	231
123	230
122	230
122	229
121	229
121	227
120	227
120	224
119	224
119	216
120	216
120	213
121	213
121	211
122	211
122	210
123	210
123	209
124	209
124	208
125	208
125	207
127	207
127	206
129	206
129	205
136	205
136	206
138	206
138	207
140	207
140	208
141	208
141	209
142	209
142	210
143	210
143	211
144	211
144	213
145	213
145	216
146	216
