Slice,Count,Total Area,Average Size,%Area
1.png,126,1997,15.849,3.753
10.png,119,5847,49.134,10.988
11.png,125,2374,18.992,4.461
12.png,76,2057,27.066,3.866
13.png,109,1834,16.826,3.446
14.png,97,2460,25.361,4.623
15.png,76,562,7.395,1.056
16.png,120,1994,16.617,3.747
17.png,106,1402,13.226,2.635
18.png,157,2099,13.369,3.944
19.png,135,2364,17.511,4.442
2.png,206,2180,10.583,4.097
20.png,127,2635,20.748,4.952
21.png,161,1558,9.677,2.928
22.png,109,907,8.321,1.704
23.png,155,1308,8.439,2.458
24.png,136,1819,13.375,3.418
25.png,104,2715,26.106,5.102
26.png,84,1140,13.571,2.142
27.png,121,2220,18.347,4.172
28.png,115,2341,20.357,4.399
29.png,134,1150,8.582,2.161
3.png,181,2424,13.392,4.555
30.png,106,1218,11.491,2.289
31.png,141,2637,18.702,4.955
32.png,111,4186,37.712,7.866
33.png,142,1824,12.845,3.428
34.png,156,1332,8.538,2.503
35.png,109,1583,14.523,2.975
36.png,97,877,9.041,1.648
4.png,126,2036,16.159,3.826
5.png,213,3244,15.230,6.096
6.png,156,2167,13.891,4.072
7.png,103,4201,40.786,7.895
8.png,141,2244,15.915,4.217
9.png,113,2722,24.088,5.115
