Slice,Count,Total Area,Average Size,%Area
1.png,22,48,2.182,0.090
10.png,41,232,5.659,0.436
11.png,50,170,3.400,0.319
12.png,107,1991,18.607,3.741
13.png,204,1677,8.221,3.151
14.png,174,881,5.063,1.656
15.png,378,1622,4.291,3.048
16.png,119,1588,13.345,2.984
17.png,121,2093,17.298,3.933
18.png,122,564,4.623,1.060
19.png,51,122,2.392,0.229
2.png,26,37,1.423,0.070
20.png,1,1,1.000,0.002
21.png,46,73,1.587,0.137
22.png,28,46,1.643,0.086
23.png,23,51,2.217,0.096
24.png,98,230,2.347,0.432
25.png,119,1122,9.429,2.108
26.png,12,42,3.500,0.079
27.png,14,53,3.786,0.100
28.png,77,360,4.675,0.677
29.png,60,119,1.983,0.224
3.png,14,23,1.643,0.043
30.png,72,502,6.972,0.943
31.png,114,385,3.377,0.723
32.png,101,395,3.911,0.742
33.png,253,1074,4.245,2.018
34.png,117,546,4.667,1.026
35.png,57,226,3.965,0.425
36.png,111,290,2.613,0.545
4.png,30,52,1.733,0.098
5.png,128,257,2.008,0.483
6.png,32,107,3.344,0.201
7.png,106,891,8.406,1.674
8.png,93,281,3.022,0.528
9.png,22,90,4.091,0.169
