Slice,Count,Total Area,Average Size,%Area
1.png,22,305,13.864,0.573
10.png,42,542,12.905,1.019
11.png,29,293,10.103,0.551
12.png,25,967,38.680,1.817
13.png,20,833,41.650,1.565
14.png,39,1290,33.077,2.424
15.png,7,66,9.429,0.124
16.png,47,1424,30.298,2.676
17.png,34,1429,42.029,2.685
18.png,37,480,12.973,0.902
19.png,13,77,5.923,0.145
2.png,39,214,5.487,0.402
20.png,24,182,7.583,0.342
21.png,70,328,4.686,0.616
22.png,14,40,2.857,0.075
23.png,148,956,6.459,1.797
24.png,38,706,18.579,1.327
25.png,29,2674,92.207,5.025
26.png,26,274,10.538,0.515
27.png,8,122,15.250,0.229
28.png,24,511,21.292,0.960
29.png,43,218,5.070,0.410
3.png,31,122,3.935,0.229
30.png,28,2796,99.857,5.254
31.png,63,2147,34.079,4.035
32.png,78,3080,39.487,5.788
33.png,77,2133,27.701,4.008
34.png,42,1021,24.310,1.919
35.png,72,1478,20.528,2.777
36.png,57,931,16.333,1.750
4.png,36,212,5.889,0.398
5.png,173,1756,10.150,3.300
6.png,32,625,19.531,1.175
7.png,22,1390,63.182,2.612
8.png,70,978,13.971,1.838
9.png,48,761,15.854,1.430
