Slice,Count,Total Area,Average Size,%Area
1.png,20,1048,52.400,1.969
10.png,14,2354,168.143,4.424
11.png,8,170,21.250,0.319
12.png,2,9,4.500,0.017
13.png,1,53214,53214.000,100.000
14.png,1,53214,53214.000,100.000
15.png,1,53214,53214.000,100.000
16.png,5,79,15.800,0.148
17.png,3,53,17.667,0.100
18.png,1,53214,53214.000,100.000
19.png,2,28,14.000,0.053
2.png,46,576,12.522,1.082
20.png,19,961,50.579,1.806
21.png,30,420,14.000,0.789
22.png,19,273,14.368,0.513
23.png,85,6004,70.635,11.283
24.png,25,2753,110.120,5.173
25.png,20,1003,50.150,1.885
26.png,10,3238,323.800,6.085
27.png,18,829,46.056,1.558
28.png,18,1668,92.667,3.135
29.png,37,1070,28.919,2.011
3.png,25,518,20.720,0.973
30.png,19,513,27.000,0.964
31.png,21,2212,105.333,4.157
32.png,30,2450,81.667,4.604
33.png,23,293,12.739,0.551
34.png,11,1174,106.727,2.206
35.png,38,2983,78.500,5.606
36.png,13,1004,77.231,1.887
4.png,13,679,52.231,1.276
5.png,54,2348,43.481,4.412
6.png,24,2226,92.750,4.183
7.png,1,1,1.000,0.002
8.png,21,2714,129.238,5.100
9.png,19,3132,164.842,5.886
