Slice,Count,Total Area,Average Size,%Area
1.png,147,609,4.143,1.144
10.png,117,844,7.214,1.586
11.png,99,1249,12.616,2.347
12.png,87,582,6.690,1.094
13.png,121,658,5.438,1.237
14.png,100,858,8.580,1.612
15.png,123,1325,10.772,2.490
16.png,119,1101,9.252,2.069
17.png,160,1654,10.338,3.108
18.png,92,925,10.054,1.738
19.png,138,1112,8.058,2.090
2.png,99,612,6.182,1.150
20.png,86,3366,39.140,6.325
21.png,112,3327,29.705,6.252
22.png,166,1544,9.301,2.901
23.png,116,194,1.672,0.365
24.png,78,1816,23.282,3.413
25.png,35,923,26.371,1.735
26.png,79,2502,31.671,4.702
27.png,80,1729,21.613,3.249
28.png,85,1044,12.282,1.962
29.png,105,2607,24.829,4.899
3.png,113,1601,14.168,3.009
30.png,113,1320,11.681,2.481
31.png,162,956,5.901,1.797
32.png,139,791,5.691,1.486
33.png,135,889,6.585,1.671
34.png,107,826,7.720,1.552
35.png,95,1349,14.200,2.535
36.png,101,4473,44.287,8.406
4.png,117,808,6.906,1.518
5.png,88,790,8.977,1.485
6.png,105,1815,17.286,3.411
7.png,11,500,45.455,0.940
8.png,60,1549,25.817,2.911
9.png,84,1009,12.012,1.896
