Slice,Count,Total Area,Average Size,%Area
1.png,126,1843,14.627,3.463
10.png,76,3370,44.342,6.333
11.png,101,2261,22.386,4.249
12.png,46,1792,38.957,3.368
13.png,47,3195,67.979,6.004
14.png,78,3820,48.974,7.179
15.png,98,1923,19.622,3.614
16.png,70,5062,72.314,9.513
17.png,84,3751,44.655,7.049
18.png,76,2860,37.632,5.375
19.png,137,1389,10.139,2.610
2.png,111,1083,9.757,2.035
20.png,125,2784,22.272,5.232
21.png,221,2174,9.837,4.085
22.png,149,1756,11.785,3.300
23.png,108,427,3.954,0.802
24.png,100,2379,23.790,4.471
25.png,65,2797,43.031,5.256
26.png,61,2000,32.787,3.758
27.png,40,5081,127.025,9.548
28.png,71,3863,54.408,7.259
29.png,102,2959,29.010,5.561
3.png,173,1898,10.971,3.567
30.png,81,2949,36.407,5.542
31.png,112,2935,26.205,5.515
32.png,93,2624,28.215,4.931
33.png,136,3563,26.199,6.696
34.png,76,4661,61.329,8.759
35.png,77,3125,40.584,5.873
36.png,147,2408,16.381,4.525
4.png,166,1242,7.482,2.334
5.png,125,1016,8.128,1.909
6.png,83,1895,22.831,3.561
7.png,50,2416,48.320,4.540
8.png,92,3945,42.880,7.413
9.png,45,4004,88.978,7.524
