Slice,Count,Total Area,Average Size,%Area
1.png,101,10349,102.465,19.448
10.png,96,286,2.979,0.537
11.png,100,668,6.680,1.255
12.png,103,743,7.214,1.396
13.png,131,603,4.603,1.133
14.png,123,905,7.358,1.701
15.png,204,2952,14.471,5.547
16.png,170,1644,9.671,3.089
17.png,156,2710,17.372,5.093
18.png,120,433,3.608,0.814
19.png,134,11104,82.866,20.867
2.png,120,3276,27.300,6.156
20.png,171,3718,21.743,6.987
21.png,248,5215,21.028,9.800
22.png,127,14872,117.102,27.948
23.png,61,636,10.426,1.195
24.png,150,2553,17.020,4.798
25.png,95,724,7.621,1.361
26.png,61,2990,49.016,5.619
27.png,110,1487,13.518,2.794
28.png,131,1233,9.412,2.317
29.png,160,2386,14.912,4.484
3.png,145,5700,39.310,10.711
30.png,116,1888,16.276,3.548
31.png,126,556,4.413,1.045
32.png,84,598,7.119,1.124
33.png,236,1538,6.517,2.890
34.png,166,820,4.940,1.541
35.png,131,1105,8.435,2.077
36.png,226,2872,12.708,5.397
4.png,83,9758,117.566,18.337
5.png,133,2048,15.398,3.849
6.png,94,979,10.415,1.840
7.png,73,713,9.767,1.340
8.png,133,1264,9.504,2.375
9.png,46,422,9.174,0.793
