Slice,Count,Total Area,Average Size,%Area
1.png,11,22,2.000,0.041
10.png,10,176,17.600,0.331
11.png,5,11,2.200,0.021
12.png,1,53214,53214.000,100.000
13.png,1,53214,53214.000,100.000
14.png,2,2,1.000,0.004
15.png,1,53214,53214.000,100.000
16.png,4,11,2.750,0.021
17.png,0,0,NaN,0.000
18.png,1,53214,53214.000,100.000
19.png,20,451,22.550,0.848
2.png,12,396,33.000,0.744
20.png,19,286,15.053,0.537
21.png,19,285,15.000,0.536
22.png,9,421,46.778,0.791
23.png,41,310,7.561,0.583
24.png,33,308,9.333,0.579
25.png,12,36,3.000,0.068
26.png,25,376,15.040,0.707
27.png,6,164,27.333,0.308
28.png,6,34,5.667,0.064
29.png,23,87,3.783,0.163
3.png,14,372,26.571,0.699
30.png,1,53214,53214.000,100.000
31.png,5,10,2.000,0.019
32.png,6,21,3.500,0.039
33.png,10,15,1.500,0.028
34.png,15,43,2.867,0.081
35.png,11,396,36.000,0.744
36.png,6,24,4.000,0.045
4.png,6,17,2.833,0.032
5.png,32,69,2.156,0.130
6.png,30,517,17.233,0.972
7.png,4,11,2.750,0.021
8.png,27,263,9.741,0.494
9.png,7,55,7.857,0.103
