Slice,Count,Total Area,Average Size,%Area
1.png,3,23,7.667,0.043
10.png,13,50,3.846,0.094
11.png,52,1036,19.923,1.947
12.png,13,31,2.385,0.058
13.png,3,20,6.667,0.038
14.png,1,53214,53214.000,100.000
15.png,1,53214,53214.000,100.000
16.png,12,129,10.750,0.242
17.png,5,11,2.200,0.021
18.png,5,70,14.000,0.132
19.png,7,15,2.143,0.028
2.png,10,18,1.800,0.034
20.png,28,144,5.143,0.271
21.png,40,282,7.050,0.530
22.png,5,9,1.800,0.017
23.png,8,39,4.875,0.073
24.png,26,202,7.769,0.380
25.png,24,154,6.417,0.289
26.png,26,291,11.192,0.547
27.png,21,121,5.762,0.227
28.png,20,81,4.050,0.152
29.png,18,64,3.556,0.120
3.png,29,135,4.655,0.254
30.png,10,37,3.700,0.070
31.png,14,90,6.429,0.169
32.png,4,15,3.750,0.028
33.png,6,9,1.500,0.017
34.png,18,68,3.778,0.128
35.png,18,197,10.944,0.370
36.png,23,302,13.130,0.568
4.png,1,53214,53214.000,100.000
5.png,13,53,4.077,0.100
6.png,23,345,15.000,0.648
7.png,18,63,3.500,0.118
8.png,57,402,7.053,0.755
9.png,5,62,12.400,0.117
