Slice,Count,Total Area,Average Size,%Area
1.png,79,2567,32.494,9.714
10.png,102,377,3.696,1.427
11.png,253,2229,8.810,8.435
12.png,137,860,6.277,3.254
13.png,244,1671,6.848,6.323
14.png,130,432,3.323,1.635
15.png,111,535,4.820,2.025
16.png,127,538,4.236,2.036
17.png,77,240,3.117,0.908
18.png,185,992,5.362,3.754
19.png,42,191,4.548,0.723
2.png,132,1342,10.167,5.078
20.png,208,1072,5.154,4.057
21.png,154,1420,9.221,5.373
22.png,53,2693,50.811,10.191
23.png,183,1972,10.776,7.462
24.png,121,1229,10.157,4.651
25.png,208,1073,5.159,4.060
26.png,263,1866,7.095,7.061
27.png,186,1331,7.156,5.037
28.png,145,2006,13.834,7.591
29.png,106,514,4.849,1.945
3.png,255,2957,11.596,11.190
30.png,141,1412,10.014,5.343
31.png,135,1167,8.644,4.416
32.png,45,136,3.022,0.515
33.png,145,486,3.352,1.839
34.png,43,186,4.326,0.704
35.png,60,149,2.483,0.564
36.png,241,1017,4.220,3.848
37.png,144,1984,13.778,7.508
38.png,133,658,4.947,2.490
39.png,136,1309,9.625,4.953
4.png,145,1624,11.200,6.145
40.png,156,1486,9.526,5.623
41.png,249,843,3.386,3.190
42.png,157,794,5.057,3.005
43.png,66,321,4.864,1.215
44.png,95,765,8.053,2.895
45.png,63,264,4.190,0.999
46.png,180,1310,7.278,4.957
47.png,144,431,2.993,1.631
48.png,124,428,3.452,1.620
49.png,109,755,6.927,2.857
5.png,75,230,3.067,0.870
50.png,126,785,6.230,2.971
51.png,105,986,9.390,3.731
52.png,103,463,4.495,1.752
53.png,123,427,3.472,1.616
54.png,227,1608,7.084,6.085
55.png,185,1134,6.130,4.291
56.png,101,742,7.347,2.808
6.png,154,1553,10.084,5.877
7.png,173,3375,19.509,12.772
8.png,198,1647,8.318,6.232
9.png,125,916,7.328,3.466
