Slice,Count,Total Area,Average Size,%Area
1.png,110,450,4.091,1.703
10.png,80,783,9.787,2.963
11.png,104,1441,13.856,5.453
12.png,79,726,9.190,2.747
13.png,111,2232,20.108,8.446
14.png,78,1344,17.231,5.086
15.png,99,2004,20.242,7.583
16.png,95,1316,13.853,4.980
17.png,41,1425,34.756,5.392
18.png,97,1266,13.052,4.791
19.png,68,591,8.691,2.236
2.png,91,501,5.505,1.896
20.png,85,872,10.259,3.300
21.png,30,1678,55.933,6.350
22.png,64,586,9.156,2.218
23.png,96,1238,12.896,4.685
24.png,51,1130,22.157,4.276
25.png,85,872,10.259,3.300
26.png,127,1238,9.748,4.685
27.png,73,1108,15.178,4.193
28.png,79,799,10.114,3.024
29.png,97,571,5.887,2.161
3.png,73,535,7.329,2.025
30.png,81,508,6.272,1.922
31.png,86,483,5.616,1.828
32.png,88,622,7.068,2.354
33.png,79,740,9.367,2.800
34.png,93,644,6.925,2.437
35.png,73,633,8.671,2.395
36.png,98,508,5.184,1.922
37.png,76,673,8.855,2.547
38.png,84,815,9.702,3.084
39.png,88,658,7.477,2.490
4.png,85,494,5.812,1.869
40.png,62,1165,18.790,4.409
41.png,170,2929,17.229,11.084
42.png,91,1776,19.516,6.721
43.png,84,892,10.619,3.375
44.png,88,1321,15.011,4.999
45.png,52,768,14.769,2.906
46.png,79,1101,13.937,4.166
47.png,137,913,6.664,3.455
48.png,80,743,9.287,2.812
49.png,78,494,6.333,1.869
5.png,77,633,8.221,2.395
50.png,75,855,11.400,3.235
51.png,43,1011,23.512,3.826
52.png,97,809,8.340,3.061
53.png,80,743,9.287,2.812
54.png,121,1207,9.975,4.567
55.png,84,1078,12.833,4.079
56.png,86,655,7.616,2.479
6.png,86,608,7.070,2.301
7.png,67,602,8.985,2.278
8.png,94,623,6.628,2.358
9.png,73,785,10.753,2.971
