Slice,Count,Total Area,Average Size,%Area
1.png,50,1084,21.680,4.102
10.png,138,2619,18.978,9.911
11.png,28,84,3.000,0.318
12.png,62,608,9.806,2.301
13.png,34,143,4.206,0.541
14.png,95,522,5.495,1.975
15.png,25,704,28.160,2.664
16.png,72,354,4.917,1.340
17.png,104,2557,24.587,9.676
18.png,120,794,6.617,3.005
19.png,68,3610,53.088,13.661
2.png,117,2367,20.231,8.957
20.png,84,542,6.452,2.051
21.png,31,162,5.226,0.613
22.png,2,2,1.000,0.008
23.png,49,102,2.082,0.386
24.png,49,535,10.918,2.025
25.png,84,542,6.452,2.051
26.png,59,824,13.966,3.118
27.png,36,61,1.694,0.231
28.png,41,82,2.000,0.310
29.png,104,1029,9.894,3.894
3.png,69,878,12.725,3.322
30.png,51,1554,30.471,5.881
31.png,79,1316,16.658,4.980
32.png,58,149,2.569,0.564
33.png,66,562,8.515,2.127
34.png,61,517,8.475,1.956
35.png,63,304,4.825,1.150
36.png,53,842,15.887,3.186
37.png,44,209,4.750,0.791
38.png,83,1352,16.289,5.116
39.png,56,261,4.661,0.988
4.png,70,1109,15.843,4.197
40.png,40,179,4.475,0.677
41.png,53,331,6.245,1.253
42.png,64,410,6.406,1.552
43.png,51,1951,38.255,7.383
44.png,30,472,15.733,1.786
45.png,72,1660,23.056,6.282
46.png,53,343,6.472,1.298
47.png,79,829,10.494,3.137
48.png,86,2002,23.279,7.576
49.png,35,91,2.600,0.344
5.png,99,1164,11.758,4.405
50.png,48,190,3.958,0.719
51.png,13,69,5.308,0.261
52.png,80,722,9.025,2.732
53.png,86,1999,23.244,7.565
54.png,87,363,4.172,1.374
55.png,71,465,6.549,1.760
56.png,73,340,4.658,1.287
6.png,84,1464,17.429,5.540
7.png,54,228,4.222,0.863
8.png,88,873,9.920,3.304
9.png,74,764,10.324,2.891
