Slice,Count,Total Area,Average Size,%Area
1.png,6,23,3.833,0.087
10.png,17,266,15.647,1.007
11.png,9,40,4.444,0.151
12.png,8,92,11.500,0.348
13.png,5,13,2.600,0.049
14.png,9,33,3.667,0.125
15.png,0,0,NaN,0.000
16.png,1,1,1.000,0.004
17.png,8,172,21.500,0.651
18.png,5,31,6.200,0.117
19.png,8,121,15.125,0.458
2.png,3,60,20.000,0.227
20.png,2,12,6.000,0.045
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,1,26426,26426.000,100.000
25.png,2,12,6.000,0.045
26.png,1,26426,26426.000,100.000
27.png,1,26426,26426.000,100.000
28.png,1,26426,26426.000,100.000
29.png,11,57,5.182,0.216
3.png,1,5,5.000,0.019
30.png,9,43,4.778,0.163
31.png,5,9,1.800,0.034
32.png,14,168,12.000,0.636
33.png,15,68,4.533,0.257
34.png,33,448,13.576,1.695
35.png,20,918,45.900,3.474
36.png,9,34,3.778,0.129
37.png,14,106,7.571,0.401
38.png,24,609,25.375,2.305
39.png,18,139,7.722,0.526
4.png,11,80,7.273,0.303
40.png,2,160,80.000,0.605
41.png,8,44,5.500,0.167
42.png,3,13,4.333,0.049
43.png,55,887,16.127,3.357
44.png,12,609,50.750,2.305
45.png,15,297,19.800,1.124
46.png,4,60,15.000,0.227
47.png,11,94,8.545,0.356
48.png,30,269,8.967,1.018
49.png,4,9,2.250,0.034
5.png,56,1277,22.804,4.832
50.png,1,26426,26426.000,100.000
51.png,1,26426,26426.000,100.000
52.png,19,44,2.316,0.167
53.png,30,269,8.967,1.018
54.png,1,26426,26426.000,100.000
55.png,1,26426,26426.000,100.000
56.png,3,4,1.333,0.015
6.png,10,82,8.200,0.310
7.png,0,0,NaN,0.000
8.png,9,149,16.556,0.564
9.png,12,265,22.083,1.003
