Slice,Count,Total Area,Average Size,%Area
1.png,47,1180,25.106,4.465
10.png,61,434,7.115,1.642
11.png,11,301,27.364,1.139
12.png,26,425,16.346,1.608
13.png,5,40,8.000,0.151
14.png,24,291,12.125,1.101
15.png,1,26426,26426.000,100.000
16.png,12,53,4.417,0.201
17.png,22,765,34.773,2.895
18.png,21,80,3.810,0.303
19.png,9,153,17.000,0.579
2.png,6,37,6.167,0.140
20.png,37,395,10.676,1.495
21.png,9,31,3.444,0.117
22.png,5,19,3.800,0.072
23.png,32,222,6.938,0.840
24.png,26,368,14.154,1.393
25.png,37,395,10.676,1.495
26.png,33,66,2.000,0.250
27.png,9,50,5.556,0.189
28.png,42,196,4.667,0.742
29.png,27,126,4.667,0.477
3.png,5,6,1.200,0.023
30.png,9,11,1.222,0.042
31.png,10,17,1.700,0.064
32.png,5,7,1.400,0.026
33.png,7,13,1.857,0.049
34.png,2,9,4.500,0.034
35.png,2,2,1.000,0.008
36.png,9,13,1.444,0.049
37.png,26,656,25.231,2.482
38.png,20,88,4.400,0.333
39.png,44,581,13.205,2.199
4.png,19,183,9.632,0.692
40.png,15,165,11.000,0.624
41.png,22,45,2.045,0.170
42.png,28,149,5.321,0.564
43.png,20,43,2.150,0.163
44.png,6,28,4.667,0.106
45.png,37,630,17.027,2.384
46.png,17,91,5.353,0.344
47.png,74,513,6.932,1.941
48.png,58,486,8.379,1.839
49.png,24,597,24.875,2.259
5.png,13,48,3.692,0.182
50.png,30,254,8.467,0.961
51.png,10,99,9.900,0.375
52.png,30,267,8.900,1.010
53.png,57,487,8.544,1.843
54.png,23,89,3.870,0.337
55.png,13,30,2.308,0.114
56.png,37,455,12.297,1.722
6.png,33,340,10.303,1.287
7.png,3,6,2.000,0.023
8.png,18,26,1.444,0.098
9.png,31,886,28.581,3.353
