Slice,Count,Total Area,Average Size,%Area
1.png,106,1168,11.019,4.420
10.png,50,277,5.540,1.048
11.png,33,319,9.667,1.207
12.png,38,581,15.289,2.199
13.png,73,215,2.945,0.814
14.png,20,44,2.200,0.167
15.png,1,26426,26426.000,100.000
16.png,16,42,2.625,0.159
17.png,11,42,3.818,0.159
18.png,43,158,3.674,0.598
19.png,4,15,3.750,0.057
2.png,11,28,2.545,0.106
20.png,96,545,5.677,2.062
21.png,24,309,12.875,1.169
22.png,20,3023,151.150,11.439
23.png,68,273,4.015,1.033
24.png,84,1079,12.845,4.083
25.png,96,545,5.677,2.062
26.png,73,164,2.247,0.621
27.png,125,767,6.136,2.902
28.png,132,2731,20.689,10.335
29.png,58,175,3.017,0.662
3.png,28,33,1.179,0.125
30.png,1,26426,26426.000,100.000
31.png,16,28,1.750,0.106
32.png,2,2,1.000,0.008
33.png,8,13,1.625,0.049
34.png,0,0,NaN,0.000
35.png,3,6,2.000,0.023
36.png,9,10,1.111,0.038
37.png,40,101,2.525,0.382
38.png,10,22,2.200,0.083
39.png,51,118,2.314,0.447
4.png,22,85,3.864,0.322
40.png,69,429,6.217,1.623
41.png,38,76,2.000,0.288
42.png,27,75,2.778,0.284
43.png,10,20,2.000,0.076
44.png,4,10,2.500,0.038
45.png,25,87,3.480,0.329
46.png,31,211,6.806,0.798
47.png,52,163,3.135,0.617
48.png,54,145,2.685,0.549
49.png,96,1370,14.271,5.184
5.png,2,3,1.500,0.011
50.png,139,916,6.590,3.466
51.png,57,1275,22.368,4.825
52.png,37,116,3.135,0.439
53.png,54,145,2.685,0.549
54.png,162,473,2.920,1.790
55.png,34,93,2.735,0.352
56.png,82,2101,25.622,7.951
6.png,18,76,4.222,0.288
7.png,1,4,4.000,0.015
8.png,19,46,2.421,0.174
9.png,26,188,7.231,0.711
