Slice,Count,Total Area,Average Size,%Area
1.png,4,73,18.250,0.276
10.png,38,522,13.737,1.975
11.png,150,1515,10.100,5.733
12.png,69,535,7.754,2.025
13.png,195,1375,7.051,5.203
14.png,75,351,4.680,1.328
15.png,75,2625,35.000,9.933
16.png,71,720,10.141,2.725
17.png,39,104,2.667,0.394
18.png,98,852,8.694,3.224
19.png,13,23,1.769,0.087
2.png,72,417,5.792,1.578
20.png,101,706,6.990,2.672
21.png,59,384,6.508,1.453
22.png,27,147,5.444,0.556
23.png,104,568,5.462,2.149
24.png,59,504,8.542,1.907
25.png,101,707,7.000,2.675
26.png,138,1421,10.297,5.377
27.png,72,470,6.528,1.779
28.png,71,492,6.930,1.862
29.png,71,223,3.141,0.844
3.png,137,1304,9.518,4.935
30.png,68,1780,26.176,6.736
31.png,49,934,19.061,3.534
32.png,45,535,11.889,2.025
33.png,53,877,16.547,3.319
34.png,24,744,31.000,2.815
35.png,63,774,12.286,2.929
36.png,120,2404,20.033,9.097
37.png,48,1040,21.667,3.936
38.png,45,412,9.156,1.559
39.png,68,775,11.397,2.933
4.png,55,416,7.564,1.574
40.png,89,1119,12.573,4.234
41.png,158,2393,15.146,9.055
42.png,80,940,11.750,3.557
43.png,33,322,9.758,1.218
44.png,74,814,11.000,3.080
45.png,11,13,1.182,0.049
46.png,76,1271,16.724,4.810
47.png,81,724,8.938,2.740
48.png,54,228,4.222,0.863
49.png,36,212,5.889,0.802
5.png,15,484,32.267,1.832
50.png,62,175,2.823,0.662
51.png,40,385,9.625,1.457
52.png,48,266,5.542,1.007
53.png,54,228,4.222,0.863
54.png,130,1137,8.746,4.303
55.png,94,587,6.245,2.221
56.png,44,256,5.818,0.969
6.png,52,674,12.962,2.551
7.png,92,829,9.011,3.137
8.png,74,1170,15.811,4.427
9.png,34,897,26.382,3.394
