Slice,Count,Total Area,Average Size,%Area
1.png,1,26426,26426.000,100.000
10.png,5,562,112.400,2.127
11.png,27,376,13.926,1.423
12.png,15,100,6.667,0.378
13.png,61,328,5.377,1.241
14.png,20,92,4.600,0.348
15.png,9,30,3.333,0.114
16.png,42,163,3.881,0.617
17.png,13,373,28.692,1.411
18.png,39,729,18.692,2.759
19.png,13,568,43.692,2.149
2.png,8,60,7.500,0.227
20.png,44,734,16.682,2.778
21.png,21,487,23.190,1.843
22.png,1,26426,26426.000,100.000
23.png,52,471,9.058,1.782
24.png,23,167,7.261,0.632
25.png,44,734,16.682,2.778
26.png,18,239,13.278,0.904
27.png,1,3,3.000,0.011
28.png,26,562,21.615,2.127
29.png,13,48,3.692,0.182
3.png,20,62,3.100,0.235
30.png,26,163,6.269,0.617
31.png,9,47,5.222,0.178
32.png,1,1,1.000,0.004
33.png,1,2,2.000,0.008
34.png,1,26426,26426.000,100.000
35.png,1,2,2.000,0.008
36.png,5,6,1.200,0.023
37.png,14,564,40.286,2.134
38.png,25,119,4.760,0.450
39.png,28,85,3.036,0.322
4.png,26,330,12.692,1.249
40.png,47,857,18.234,3.243
41.png,14,55,3.929,0.208
42.png,36,497,13.806,1.881
43.png,21,482,22.952,1.824
44.png,3,43,14.333,0.163
45.png,7,216,30.857,0.817
46.png,49,610,12.449,2.308
47.png,19,433,22.789,1.639
48.png,28,102,3.643,0.386
49.png,45,582,12.933,2.202
5.png,6,13,2.167,0.049
50.png,48,239,4.979,0.904
51.png,33,328,9.939,1.241
52.png,7,13,1.857,0.049
53.png,28,103,3.679,0.390
54.png,69,812,11.768,3.073
55.png,80,452,5.650,1.710
56.png,60,580,9.667,2.195
6.png,10,38,3.800,0.144
7.png,19,81,4.263,0.307
8.png,13,21,1.615,0.079
9.png,27,740,27.407,2.800
