"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36";"...37";"...38";"...39";"...40";"...41";"...42";"...43";"...44";"...45";"...46";"...47";"...48";"...49";"...50";"...51";"...52";"...53";"...54";"...55";"...56"
"23";81;45;84;2508;1;1109;1;41;1139;2429;727;664;27;940;0;191;544;289;333;3060;269;0;2547;893;3060;857;120;2997;2719;133;9;4;0;0;5;4;169;9;267;191;196;126;133;3;531;897;3046;640;1344;900;1522;312;641;1391;477;8304
"24";732;3481;81;3832;28550;863;6;613;4171;3553;468;1211;273;816;476;213;5288;549;6795;139;111;0;43;63;139;962;0;13;3281;5116;1768;20265;5726;20719;17572;903;1377;9679;1183;291;938;1396;17661;9501;5014;411;3448;6145;365;148;0;5262;6143;34;440;59
"25";0;613;547;3224;108;385;840;172;7223;5310;3725;1033;3352;878;249;1664;3386;7075;5274;6750;4610;0;4571;1725;6752;2311;19;5231;478;1615;484;2;22;1;20;29;5074;1089;861;8051;496;4666;4380;427;2073;5751;4085;972;5723;2353;3277;121;972;7352;4366;5427
"26";270;589;21;787;11972;790;8;1539;2576;2532;370;891;127;347;4;5;1718;326;1226;142;0;0;0;0;141;0;0;0;566;435;77;1565;648;4235;7723;370;1077;5734;1441;1391;406;123;8468;5928;2824;613;871;2925;59;0;0;418;2925;0;4;28
"27";0;1;0;0;22148;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;103;7;0;5260;3;11772;7657;0;0;331;0;29;0;0;10443;1;2;0;9;368;0;0;0;1;368;0;0;0
"28";2;11;17;28;1112;105;468;271;16;346;733;24;227;1389;4424;317;55;342;0;8;0;0;67;178;8;0;24;0;0;1865;1378;51;1593;557;671;846;188;202;21;112;2666;75;934;566;10;17;119;94;32;2;0;37;94;0;18;0
"29";1;252;1445;1454;22959;1379;83;4840;2193;5238;3799;1138;1828;9913;9101;1637;5496;2646;8953;2135;1422;84;3347;947;2135;6041;266;29;1484;964;1638;39734;17893;32781;20965;1010;94;10904;297;730;3611;2784;10171;6747;4203;1592;7619;5298;314;1033;247;7758;5297;764;3482;162
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
