Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
47,913,163,335,222,779,1292,2307,829,721,513,559,431,724,8,740,0,0,0,0,26,11,256,308,371,433,94,1,13,799,0
48,743,145,320,268,549,1050,964,2002,1212,486,931,428,228,0,405,0,0,0,0,0,54,340,75,595,102,269,40,12,534,0
49,494,1370,1601,1445,1009,1477,1008,91,646,597,32,755,212,192,218,0,0,2,0,0,0,35,139,38,582,9,0,3,33,0
50,855,916,889,905,1708,1805,1270,190,1308,254,5,785,175,3,471,0,0,0,0,0,0,95,97,17,239,0,0,0,104,0
51,1011,1275,565,1249,768,924,984,69,1115,99,0,986,385,40,151,0,0,0,0,0,0,14,154,0,328,0,0,0,30,0
52,809,116,69,251,605,668,1422,722,1313,267,806,463,266,0,341,0,0,0,0,0,80,237,35,511,13,44,0,10,813,0
53,743,145,322,268,549,1050,964,1999,1214,487,932,427,228,0,421,0,0,0,0,0,54,340,72,595,103,269,39,12,534,0
54,1207,473,903,1080,681,706,1398,363,1487,89,0,1608,1137,18,242,0,4,0,0,0,0,7,152,5,812,0,0,0,81,0
55,1078,93,153,310,1125,608,2855,465,2277,30,5,1134,587,8,690,0,0,0,0,0,0,84,52,46,452,0,0,0,365,0
56,655,2101,2229,1066,752,1164,786,340,1110,455,66,742,256,37,272,0,0,0,0,0,0,12,795,6,580,4,0,0,20,0
