Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
45,3254,167,429,1408,3532,3248,3662,2158,2006,811,869,2150,752,8,3745,0,0,4,0,12,0,895,68,660,289,390,0,30,850,0
46,4412,287,473,1034,2024,1131,2991,392,2008,98,28,2894,4596,176,1712,0,33,6,0,7,0,77,111,65,704,69,0,4,217,0
47,4185,326,457,640,2042,1838,4315,1083,1019,666,768,1007,1279,21,5132,0,5,81,0,37,21,533,401,594,565,189,3,47,1551,0
48,3263,367,508,1091,1416,1567,3620,2640,2010,664,1256,1716,1128,81,3570,0,0,1,0,0,61,529,87,798,145,410,41,31,1077,0
49,2343,1883,2316,2957,3640,2488,3737,187,1621,866,71,2031,373,271,4380,0,1,16,0,5,0,180,176,90,816,54,0,12,272,0
50,3888,1277,1270,2118,2500,2405,3806,238,1806,330,7,3680,1634,84,3004,0,2,0,0,0,0,120,124,18,324,0,0,0,161,0
51,3449,1476,656,2324,1415,1099,2558,84,1215,114,0,3702,2157,79,2248,0,1,0,0,0,0,20,160,0,390,0,0,0,55,0
52,3180,206,178,824,1191,1008,3783,1002,2146,375,1126,1733,1910,12,2027,0,0,2,0,7,111,422,41,735,37,124,0,67,1212,0
53,3263,367,508,1091,1419,1565,3621,2640,2010,664,1255,1716,1128,81,3509,0,0,1,0,0,61,529,87,776,145,410,41,31,1077,0
54,2954,759,1319,2110,1057,886,3260,438,2102,109,0,3812,3319,323,2004,0,15,1,0,0,0,7,153,9,996,0,0,0,118,0
55,3795,232,354,1136,1852,832,6585,667,3144,36,8,4960,2504,114,2430,0,5,0,0,0,0,113,69,58,619,0,0,3,475,0
56,2408,2423,2678,1779,1287,1459,3541,408,1734,499,90,3142,2455,84,1964,0,31,0,0,0,0,47,998,10,686,7,0,6,62,8
