Observation id	D12_B2C							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX010554.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX030554.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX040554.MP4							
								
Observation date	2024-01-17 23:13:11							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1210.982	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1215.733	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Bite	Aggressive		POINT
1215.733	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1215.733	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1223.483	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Bite female	Reproductive		POINT
1228.733	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1232.233	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1241.983	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Entry/exit pot	Reproductive		POINT
1245.379	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1255.639	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1256.483	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Entry/exit pot	Reproductive		POINT
1257.128	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1257.128	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1267.163	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1270.128	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1270.128	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1301.626	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases male	Aggressive		POINT
1301.626	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Subordinate	Flee	Other		POINT
1305.483	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases female	Aggressive		POINT
1308.233	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/B2C/Videos/GX020554.MP4	3873.230	29.97	Dominant	Chases female	Aggressive		POINT
