Observation id	Dyad.12.A1B.							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX030544.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX040544.MP4							
								
Observation date	2023-08-11 12:50:56							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
95.491	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
97.491	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
98.740	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
110.257	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
110.512	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
115.011	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
117.017	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
132.530	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
132.780	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
134.034	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
134.533	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
136.283	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
139.786	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
140.786	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
142.291	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
160.564	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
165.064	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
165.564	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
170.067	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
173.572	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
178.577	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
179.337	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
197.580	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
208.331	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
214.104	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
224.852	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
236.880	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
247.132	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
247.645	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
253.882	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
258.153	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
269.666	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Chases Male	Aggressive		POINT
273.174	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.820	29.97	Dominant	Bite	Aggressive		POINT
