Observation id	Dyad12.A2D.AC							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX020540.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX030540.MP4							
								
Observation date	2024-01-22 16:02:22							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
910.811	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Subordinate	Bite female	Reproductive		POINT
1047.943	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1050.447	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1063.708	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1072.813	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Subordinate	Bite female	Reproductive		POINT
1078.972	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1082.219	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1085.970	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1100.719	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1179.224	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1195.580	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1198.330	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1202.831	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1258.081	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases male	Aggressive		POINT
1259.899	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Subordinate	Flee	Other		POINT
1265.081	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1275.584	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1278.581	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1283.334	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1287.584	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
1290.438	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Subordinate	Bite female	Reproductive		POINT
1291.831	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Chases female	Aggressive		POINT
1294.435	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Subordinate	Flee	Other		POINT
1310.084	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite	Aggressive		POINT
1317.084	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Yellow/A2D/Videos/GX010540.MP4	3910.670	29.97	Dominant	Bite female	Reproductive		POINT
