Observation id	Dyad 9 A1C Foraging Dom ST							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4							
								
Observation date	2024-04-18 09:35:12							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1295.309	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1311.103	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1319.462	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Lateral Side Display	Aggressive		POINT
1321.715	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1322.214	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1336.986	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Flee	Other		POINT
1338.975	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1338.975	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1344.489	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1344.739	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
