Observations:,,,,,,,,,
,,,,,,,,,
Observation id,tasnia.jennifer.dyad9.a1c,,,,,,,,
Observation date,2023-04-05T17:50:27,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,17,NA,NA,NA,150.793,503.793,NA
Dominant,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Dominant,Chases Female,,87,NA,NA,NA,30.885,55.082,NA
Dominant,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Bite,,26,NA,NA,NA,104.324,125.027,NA
Dominant,head on head fight,,0,NA,NA,NA,NA,NA,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,0,NA,NA,NA,NA,NA,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Dominant,Entry /Exit Pot,,23,NA,NA,NA,117.662,123.887,NA
Dominant,bite female,,0,NA,NA,NA,NA,NA,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,50,NA,NA,NA,53.513,100.500,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Female,,6,NA,NA,NA,162.714,156.051,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,7,NA,NA,NA,381.552,365.082,NA
Subordinate,head on head fight,,0,NA,NA,NA,NA,NA,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Subordinate,bite female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,4,NA,NA,NA,32.346,33.591,NA
Subordinate,Flee,,17,NA,NA,NA,150.746,403.387,NA
