Slice,Count,Total Area,Average Size,%Area
1.png,1,26426,26426.000,100.000
10.png,1,4,4.000,0.015
11.png,1,26426,26426.000,100.000
12.png,11,37,3.364,0.140
13.png,2,3,1.500,0.011
14.png,4,35,8.750,0.132
15.png,4,115,28.750,0.435
16.png,1,5,5.000,0.019
17.png,4,11,2.750,0.042
18.png,5,21,4.200,0.079
19.png,1,1,1.000,0.004
2.png,0,0,NaN,0.000
20.png,1,26426,26426.000,100.000
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,1,2,2.000,0.008
25.png,1,26426,26426.000,100.000
26.png,1,26426,26426.000,100.000
27.png,1,26426,26426.000,100.000
28.png,1,26426,26426.000,100.000
29.png,0,0,NaN,0.000
3.png,1,3,3.000,0.011
30.png,6,165,27.500,0.624
31.png,10,114,11.400,0.431
32.png,3,4,1.333,0.015
33.png,2,50,25.000,0.189
34.png,6,30,5.000,0.114
35.png,3,15,5.000,0.057
36.png,1,26426,26426.000,100.000
37.png,5,49,9.800,0.185
38.png,12,71,5.917,0.269
39.png,1,26426,26426.000,100.000
4.png,2,5,2.500,0.019
40.png,6,22,3.667,0.083
41.png,0,0,NaN,0.000
42.png,2,28,14.000,0.106
43.png,6,36,6.000,0.136
44.png,6,37,6.167,0.140
45.png,1,26,26.000,0.098
46.png,1,26426,26426.000,100.000
47.png,11,35,3.182,0.132
48.png,2,20,10.000,0.076
49.png,1,5,5.000,0.019
5.png,11,78,7.091,0.295
50.png,1,26426,26426.000,100.000
51.png,0,0,NaN,0.000
52.png,5,61,12.200,0.231
53.png,2,20,10.000,0.076
54.png,1,26426,26426.000,100.000
55.png,1,26426,26426.000,100.000
56.png,2,6,3.000,0.023
6.png,1,26426,26426.000,100.000
7.png,1,1,1.000,0.004
8.png,11,122,11.091,0.462
9.png,0,0,NaN,0.000
