Slice,Count,Total Area,Average Size,%Area
1.png,1,26426,26426.000,100.000
10.png,5,6,1.200,0.023
11.png,1,1,1.000,0.004
12.png,8,22,2.750,0.083
13.png,6,6,1.000,0.023
14.png,5,7,1.400,0.026
15.png,10,30,3.000,0.114
16.png,2,4,2.000,0.015
17.png,5,13,2.600,0.049
18.png,15,41,2.733,0.155
19.png,1,1,1.000,0.004
2.png,2,3,1.500,0.011
20.png,7,20,2.857,0.076
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,1,2,2.000,0.008
25.png,7,20,2.857,0.076
26.png,1,6,6.000,0.023
27.png,1,26426,26426.000,100.000
28.png,0,0,NaN,0.000
29.png,1,26426,26426.000,100.000
3.png,0,0,NaN,0.000
30.png,2,2,1.000,0.008
31.png,2,3,1.500,0.011
32.png,0,0,NaN,0.000
33.png,0,0,NaN,0.000
34.png,1,26426,26426.000,100.000
35.png,2,3,1.500,0.011
36.png,1,26426,26426.000,100.000
37.png,0,0,NaN,0.000
38.png,1,2,2.000,0.008
39.png,3,4,1.333,0.015
4.png,1,2,2.000,0.008
40.png,2,7,3.500,0.026
41.png,1,1,1.000,0.004
42.png,13,40,3.077,0.151
43.png,20,48,2.400,0.182
44.png,2,4,2.000,0.015
45.png,1,26426,26426.000,100.000
46.png,25,71,2.840,0.269
47.png,0,0,NaN,0.000
48.png,9,14,1.556,0.053
49.png,1,26426,26426.000,100.000
5.png,0,0,NaN,0.000
50.png,4,6,1.500,0.023
51.png,1,26426,26426.000,100.000
52.png,12,21,1.750,0.079
53.png,9,14,1.556,0.053
54.png,10,44,4.400,0.167
55.png,30,63,2.100,0.238
56.png,13,24,1.846,0.091
6.png,1,26426,26426.000,100.000
7.png,1,8,8.000,0.030
8.png,1,2,2.000,0.008
9.png,15,18,1.200,0.068
