Slice,Count,Total Area,Average Size,%Area
1.png,22,5520,250.909,20.889
10.png,149,4624,31.034,17.498
11.png,177,2069,11.689,7.829
12.png,167,2287,13.695,8.654
13.png,205,971,4.737,3.674
14.png,186,2061,11.081,7.799
15.png,140,1596,11.400,6.040
16.png,228,2310,10.132,8.741
17.png,125,1306,10.448,4.942
18.png,167,1404,8.407,5.313
19.png,86,1531,17.802,5.794
2.png,86,5810,67.558,21.986
20.png,252,2085,8.274,7.890
21.png,136,1302,9.574,4.927
22.png,94,2193,23.330,8.299
23.png,196,1885,9.617,7.133
24.png,155,1822,11.755,6.895
25.png,252,2085,8.274,7.890
26.png,152,777,5.112,2.940
27.png,260,2537,9.758,9.600
28.png,205,1291,6.298,4.885
29.png,66,7542,114.273,28.540
3.png,43,9148,212.744,34.617
30.png,86,4462,51.884,16.885
31.png,145,5045,34.793,19.091
32.png,96,4574,47.646,17.309
33.png,129,3475,26.938,13.150
34.png,116,5196,44.793,19.662
35.png,113,5369,47.513,20.317
36.png,180,3345,18.583,12.658
37.png,112,3159,28.205,11.954
38.png,111,3671,33.072,13.892
39.png,176,1337,7.597,5.059
4.png,82,6744,82.244,25.520
40.png,161,2330,14.472,8.817
41.png,173,911,5.266,3.447
42.png,171,1664,9.731,6.297
43.png,193,2307,11.953,8.730
44.png,123,1578,12.829,5.971
45.png,89,1822,20.472,6.895
46.png,177,964,5.446,3.648
47.png,187,1610,8.610,6.092
48.png,203,2226,10.966,8.424
49.png,165,1910,11.576,7.228
5.png,119,5387,45.269,20.385
50.png,213,1951,9.160,7.383
51.png,283,1981,7.000,7.496
52.png,168,1578,9.393,5.971
53.png,203,2226,10.966,8.424
54.png,204,1743,8.544,6.596
55.png,200,1780,8.900,6.736
56.png,158,2498,15.810,9.453
6.png,86,4709,54.756,17.820
7.png,131,3012,22.992,11.398
8.png,111,4911,44.243,18.584
9.png,116,3526,30.397,13.343
