Slice,Count,Total Area,Average Size,%Area
1.png,1,1,1.000,0.004
10.png,0,0,NaN,0.000
11.png,1,26426,26426.000,100.000
12.png,2,31,15.500,0.117
13.png,1,1,1.000,0.004
14.png,1,26426,26426.000,100.000
15.png,1,26426,26426.000,100.000
16.png,1,26426,26426.000,100.000
17.png,1,26426,26426.000,100.000
18.png,1,26426,26426.000,100.000
19.png,1,2,2.000,0.008
2.png,3,4,1.333,0.015
20.png,1,26426,26426.000,100.000
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,1,26426,26426.000,100.000
25.png,1,26426,26426.000,100.000
26.png,1,26426,26426.000,100.000
27.png,1,26426,26426.000,100.000
28.png,1,26426,26426.000,100.000
29.png,1,1,1.000,0.004
3.png,1,26426,26426.000,100.000
30.png,2,22,11.000,0.083
31.png,1,26426,26426.000,100.000
32.png,0,0,NaN,0.000
33.png,1,26426,26426.000,100.000
34.png,4,9,2.250,0.034
35.png,1,26426,26426.000,100.000
36.png,1,26426,26426.000,100.000
37.png,1,1,1.000,0.004
38.png,2,8,4.000,0.030
39.png,2,30,15.000,0.114
4.png,1,26426,26426.000,100.000
40.png,1,26426,26426.000,100.000
41.png,1,26426,26426.000,100.000
42.png,1,26426,26426.000,100.000
43.png,2,3,1.500,0.011
44.png,1,26426,26426.000,100.000
45.png,1,26426,26426.000,100.000
46.png,1,26426,26426.000,100.000
47.png,6,26,4.333,0.098
48.png,4,12,3.000,0.045
49.png,8,26,3.250,0.098
5.png,1,26426,26426.000,100.000
50.png,1,26426,26426.000,100.000
51.png,1,26426,26426.000,100.000
52.png,3,7,2.333,0.026
53.png,4,12,3.000,0.045
54.png,1,26426,26426.000,100.000
55.png,1,26426,26426.000,100.000
56.png,1,26426,26426.000,100.000
6.png,1,26426,26426.000,100.000
7.png,1,26426,26426.000,100.000
8.png,1,26426,26426.000,100.000
9.png,4,26,6.500,0.098
