Slice,Count,Total Area,Average Size,%Area
1.png,6,77,12.833,0.291
10.png,139,1901,13.676,7.194
11.png,154,3159,20.513,11.954
12.png,99,869,8.778,3.288
13.png,124,3620,29.194,13.699
14.png,134,542,4.045,2.051
15.png,101,2834,28.059,10.724
16.png,158,2785,17.627,10.539
17.png,39,110,2.821,0.416
18.png,82,1461,17.817,5.529
19.png,10,42,4.200,0.159
2.png,91,2526,27.758,9.559
20.png,115,1114,9.687,4.216
21.png,56,261,4.661,0.988
22.png,51,1152,22.588,4.359
23.png,77,197,2.558,0.745
24.png,55,1291,23.473,4.885
25.png,116,1116,9.621,4.223
26.png,89,2902,32.607,10.982
27.png,134,1431,10.679,5.415
28.png,92,2392,26.000,9.052
29.png,124,1584,12.774,5.994
3.png,214,2989,13.967,11.311
30.png,70,3611,51.586,13.665
31.png,97,3981,41.041,15.065
32.png,92,3220,35.000,12.185
33.png,80,5664,70.800,21.433
34.png,64,1654,25.844,6.259
35.png,110,3662,33.291,13.858
36.png,73,9066,124.192,34.307
37.png,107,3752,35.065,14.198
38.png,125,896,7.168,3.391
39.png,88,4923,55.943,18.629
4.png,67,2887,43.090,10.925
40.png,119,1020,8.571,3.860
41.png,139,2232,16.058,8.446
42.png,92,2096,22.783,7.932
43.png,112,1230,10.982,4.655
44.png,88,1859,21.125,7.035
45.png,35,647,18.486,2.448
46.png,101,3368,33.347,12.745
47.png,69,369,5.348,1.396
48.png,80,879,10.988,3.326
49.png,28,76,2.714,0.288
5.png,100,1563,15.630,5.915
50.png,122,1271,10.418,4.810
51.png,149,2118,14.215,8.015
52.png,64,1350,21.094,5.109
53.png,79,878,11.114,3.322
54.png,121,2154,17.802,8.151
55.png,112,1643,14.670,6.217
56.png,89,2075,23.315,7.852
6.png,61,5214,85.475,19.731
7.png,70,8426,120.371,31.885
8.png,92,3367,36.598,12.741
9.png,144,2661,18.479,10.070
