Slice,Count,Total Area,Average Size,%Area
1.png,14,59,4.214,0.223
10.png,21,62,2.952,0.235
11.png,2,3,1.500,0.011
12.png,21,61,2.905,0.231
13.png,1,1,1.000,0.004
14.png,7,8,1.143,0.030
15.png,0,0,NaN,0.000
16.png,1,26426,26426.000,100.000
17.png,23,105,4.565,0.397
18.png,5,8,1.600,0.030
19.png,19,257,13.526,0.973
2.png,9,17,1.889,0.064
20.png,4,5,1.250,0.019
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,0,0,NaN,0.000
24.png,1,26426,26426.000,100.000
25.png,4,5,1.250,0.019
26.png,1,2,2.000,0.008
27.png,0,0,NaN,0.000
28.png,0,0,NaN,0.000
29.png,13,25,1.923,0.095
3.png,5,11,2.200,0.042
30.png,10,130,13.000,0.492
31.png,7,34,4.857,0.129
32.png,10,37,3.700,0.140
33.png,4,13,3.250,0.049
34.png,20,35,1.750,0.132
35.png,1,1,1.000,0.004
36.png,1,26426,26426.000,100.000
37.png,0,0,NaN,0.000
38.png,16,38,2.375,0.144
39.png,10,12,1.200,0.045
4.png,5,20,4.000,0.076
40.png,7,10,1.429,0.038
41.png,1,26426,26426.000,100.000
42.png,8,12,1.500,0.045
43.png,12,81,6.750,0.307
44.png,6,12,2.000,0.045
45.png,4,7,1.750,0.026
46.png,3,8,2.667,0.030
47.png,23,68,2.957,0.257
48.png,27,61,2.259,0.231
49.png,16,41,2.562,0.155
5.png,7,11,1.571,0.042
50.png,0,0,NaN,0.000
51.png,1,1,1.000,0.004
52.png,12,42,3.500,0.159
53.png,27,61,2.259,0.231
54.png,0,0,NaN,0.000
55.png,5,8,1.600,0.030
56.png,6,22,3.667,0.083
6.png,6,16,2.667,0.061
7.png,2,13,6.500,0.049
8.png,7,15,2.143,0.057
9.png,8,30,3.750,0.114
