Slice,Count,Total Area,Average Size,%Area
1.png,1,1,1.000,0.004
10.png,103,2961,28.748,11.205
11.png,101,1665,16.485,6.301
12.png,66,3248,49.212,12.291
13.png,97,737,7.598,2.789
14.png,166,1833,11.042,6.936
15.png,83,1326,15.976,5.018
16.png,121,1382,11.421,5.230
17.png,48,2451,51.062,9.275
18.png,61,3645,59.754,13.793
19.png,24,1988,82.833,7.523
2.png,45,86,1.911,0.325
20.png,147,2673,18.184,10.115
21.png,58,2266,39.069,8.575
22.png,54,2455,45.463,9.290
23.png,59,2805,47.542,10.615
24.png,51,2201,43.157,8.329
25.png,147,2672,18.177,10.111
26.png,109,1064,9.761,4.026
27.png,75,2083,27.773,7.882
28.png,110,1816,16.509,6.872
29.png,106,1138,10.736,4.306
3.png,21,51,2.429,0.193
30.png,24,182,7.583,0.689
31.png,91,831,9.132,3.145
32.png,107,3587,33.523,13.574
33.png,88,1688,19.182,6.388
34.png,89,2869,32.236,10.857
35.png,103,2876,27.922,10.883
36.png,51,486,9.529,1.839
37.png,76,922,12.132,3.489
38.png,95,2592,27.284,9.809
39.png,68,857,12.603,3.243
4.png,68,539,7.926,2.040
40.png,104,2974,28.596,11.254
41.png,103,985,9.563,3.727
42.png,85,1655,19.471,6.263
43.png,111,2734,24.631,10.346
44.png,100,1216,12.160,4.602
45.png,46,2769,60.196,10.478
46.png,114,1443,12.658,5.461
47.png,100,4182,41.820,15.825
48.png,96,3211,33.448,12.151
49.png,80,3001,37.513,11.356
5.png,109,2679,24.578,10.138
50.png,58,1998,34.448,7.561
51.png,61,2532,41.508,9.581
52.png,92,1501,16.315,5.680
53.png,96,3211,33.448,12.151
54.png,59,2011,34.085,7.610
55.png,91,1375,15.110,5.203
56.png,73,1637,22.425,6.195
6.png,63,536,8.508,2.028
7.png,66,529,8.015,2.002
8.png,122,840,6.885,3.179
9.png,82,1004,12.244,3.799
