Slice,Count,Total Area,Average Size,%Area
1.png,6,26,4.333,0.098
10.png,1,1,1.000,0.004
11.png,1,26426,26426.000,100.000
12.png,7,38,5.429,0.144
13.png,1,1,1.000,0.004
14.png,1,26426,26426.000,100.000
15.png,1,26426,26426.000,100.000
16.png,1,26426,26426.000,100.000
17.png,0,0,NaN,0.000
18.png,3,8,2.667,0.030
19.png,1,8,8.000,0.030
2.png,0,0,NaN,0.000
20.png,1,26426,26426.000,100.000
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,2,10,5.000,0.038
25.png,1,26426,26426.000,100.000
26.png,1,26426,26426.000,100.000
27.png,0,0,NaN,0.000
28.png,1,26426,26426.000,100.000
29.png,2,6,3.000,0.023
3.png,1,26426,26426.000,100.000
30.png,2,4,2.000,0.015
31.png,1,26426,26426.000,100.000
32.png,1,26426,26426.000,100.000
33.png,1,26426,26426.000,100.000
34.png,1,2,2.000,0.008
35.png,1,26426,26426.000,100.000
36.png,1,26426,26426.000,100.000
37.png,1,12,12.000,0.045
38.png,1,2,2.000,0.008
39.png,2,129,64.500,0.488
4.png,1,26426,26426.000,100.000
40.png,1,1,1.000,0.004
41.png,1,26426,26426.000,100.000
42.png,1,26426,26426.000,100.000
43.png,7,15,2.143,0.057
44.png,1,26426,26426.000,100.000
45.png,1,5,5.000,0.019
46.png,2,7,3.500,0.026
47.png,10,28,2.800,0.106
48.png,13,82,6.308,0.310
49.png,9,59,6.556,0.223
5.png,1,26426,26426.000,100.000
50.png,1,26426,26426.000,100.000
51.png,0,0,NaN,0.000
52.png,8,28,3.500,0.106
53.png,13,82,6.308,0.310
54.png,1,26426,26426.000,100.000
55.png,0,0,NaN,0.000
56.png,3,6,2.000,0.023
6.png,1,26426,26426.000,100.000
7.png,1,26426,26426.000,100.000
8.png,1,26426,26426.000,100.000
9.png,4,89,22.250,0.337
