Slice,Count,Total Area,Average Size,%Area
1.png,1,5,5.000,0.019
10.png,1,26426,26426.000,100.000
11.png,1,1,1.000,0.004
12.png,5,13,2.600,0.049
13.png,1,26426,26426.000,100.000
14.png,2,21,10.500,0.079
15.png,1,18,18.000,0.068
16.png,1,26426,26426.000,100.000
17.png,7,45,6.429,0.170
18.png,1,26426,26426.000,100.000
19.png,1,26426,26426.000,100.000
2.png,4,39,9.750,0.148
20.png,10,74,7.400,0.280
21.png,2,6,3.000,0.023
22.png,0,0,NaN,0.000
23.png,1,26426,26426.000,100.000
24.png,9,54,6.000,0.204
25.png,1,26426,26426.000,100.000
26.png,3,4,1.333,0.015
27.png,10,130,13.000,0.492
28.png,2,6,3.000,0.023
29.png,1,26426,26426.000,100.000
3.png,6,11,1.833,0.042
30.png,1,2,2.000,0.008
31.png,1,26426,26426.000,100.000
32.png,1,26426,26426.000,100.000
33.png,1,26426,26426.000,100.000
34.png,2,8,4.000,0.030
35.png,1,26426,26426.000,100.000
36.png,1,26426,26426.000,100.000
4.png,1,26426,26426.000,100.000
5.png,59,595,10.085,2.252
6.png,8,96,12.000,0.363
7.png,2,17,8.500,0.064
8.png,10,188,18.800,0.711
9.png,1,10,10.000,0.038
