Slice,Count,Total Area,Average Size,%Area
1.png,18,87,4.833,0.329
10.png,14,216,15.429,0.817
11.png,16,154,9.625,0.583
12.png,9,50,5.556,0.189
13.png,25,116,4.640,0.439
14.png,15,74,4.933,0.280
15.png,11,42,3.818,0.159
16.png,25,282,11.280,1.067
17.png,31,547,17.645,2.070
18.png,26,211,8.115,0.798
19.png,15,161,10.733,0.609
2.png,34,691,20.324,2.615
20.png,40,524,13.100,1.983
21.png,26,439,16.885,1.661
22.png,6,29,4.833,0.110
23.png,37,311,8.405,1.177
24.png,30,367,12.233,1.389
25.png,43,444,10.326,1.680
26.png,27,278,10.296,1.052
27.png,10,157,15.700,0.594
28.png,14,92,6.571,0.348
29.png,44,984,22.364,3.724
3.png,50,293,5.860,1.109
30.png,19,119,6.263,0.450
31.png,12,29,2.417,0.110
32.png,1,26426,26426.000,100.000
33.png,5,8,1.600,0.030
34.png,17,91,5.353,0.344
35.png,13,50,3.846,0.189
36.png,22,95,4.318,0.359
4.png,16,82,5.125,0.310
5.png,65,290,4.462,1.097
6.png,37,284,7.676,1.075
7.png,32,318,9.938,1.203
8.png,16,760,47.500,2.876
9.png,19,231,12.158,0.874
