Slice,Count,Total Area,Average Size,%Area
1.png,10,32,3.200,0.121
10.png,22,45,2.045,0.170
11.png,24,60,2.500,0.227
12.png,15,21,1.400,0.079
13.png,4,6,1.500,0.023
14.png,1,26426,26426.000,100.000
15.png,14,27,1.929,0.102
16.png,2,8,4.000,0.030
17.png,25,121,4.840,0.458
18.png,16,33,2.062,0.125
19.png,2,6,3.000,0.023
2.png,0,0,NaN,0.000
20.png,25,41,1.640,0.155
21.png,6,10,1.667,0.038
22.png,4,8,2.000,0.030
23.png,5,5,1.000,0.019
24.png,0,0,NaN,0.000
25.png,3,9,3.000,0.034
26.png,4,20,5.000,0.076
27.png,0,0,NaN,0.000
28.png,5,8,1.600,0.030
29.png,1,26426,26426.000,100.000
3.png,5,6,1.200,0.023
30.png,6,67,11.167,0.254
31.png,4,4,1.000,0.015
32.png,1,1,1.000,0.004
33.png,2,3,1.500,0.011
34.png,7,11,1.571,0.042
35.png,1,4,4.000,0.015
36.png,3,4,1.333,0.015
4.png,0,0,NaN,0.000
5.png,3,8,2.667,0.030
6.png,7,17,2.429,0.064
7.png,9,12,1.333,0.045
8.png,4,9,2.250,0.034
9.png,5,10,2.000,0.038
