Slice,Count,Total Area,Average Size,%Area
1.png,13,52,4.000,0.197
10.png,1,26426,26426.000,100.000
11.png,1,26426,26426.000,100.000
12.png,8,56,7.000,0.212
13.png,1,26426,26426.000,100.000
14.png,1,26426,26426.000,100.000
15.png,2,12,6.000,0.045
16.png,1,26426,26426.000,100.000
17.png,4,23,5.750,0.087
18.png,1,1,1.000,0.004
19.png,0,0,NaN,0.000
2.png,1,26426,26426.000,100.000
20.png,1,3,3.000,0.011
21.png,4,16,4.000,0.061
22.png,20,52,2.600,0.197
23.png,2,4,2.000,0.015
24.png,0,0,NaN,0.000
25.png,1,26426,26426.000,100.000
26.png,9,192,21.333,0.727
27.png,1,26426,26426.000,100.000
28.png,1,26426,26426.000,100.000
29.png,1,26426,26426.000,100.000
3.png,4,15,3.750,0.057
30.png,1,26426,26426.000,100.000
31.png,1,26426,26426.000,100.000
32.png,1,26426,26426.000,100.000
33.png,8,45,5.625,0.170
34.png,2,9,4.500,0.034
35.png,2,4,2.000,0.015
36.png,1,26426,26426.000,100.000
4.png,8,20,2.500,0.076
5.png,1,26426,26426.000,100.000
6.png,1,26426,26426.000,100.000
7.png,1,9,9.000,0.034
8.png,1,26426,26426.000,100.000
9.png,1,26426,26426.000,100.000
