Slice,Count,Total Area,Average Size,%Area
1.png,83,431,5.193,1.631
10.png,39,647,16.590,2.448
11.png,64,1567,24.484,5.930
12.png,68,1058,15.559,4.004
13.png,80,601,7.513,2.274
14.png,63,552,8.762,2.089
15.png,76,596,7.842,2.255
16.png,62,611,9.855,2.312
17.png,45,678,15.067,2.566
18.png,38,2889,76.026,10.932
19.png,92,331,3.598,1.253
2.png,43,2230,51.860,8.439
20.png,59,452,7.661,1.710
21.png,67,1237,18.463,4.681
22.png,71,699,9.845,2.645
23.png,60,432,7.200,1.635
24.png,54,1123,20.796,4.250
25.png,14,462,33.000,1.748
26.png,40,1044,26.100,3.951
27.png,45,639,14.200,2.418
28.png,55,646,11.745,2.445
29.png,49,966,19.714,3.655
3.png,65,2256,34.708,8.537
30.png,54,447,8.278,1.692
31.png,63,420,6.667,1.589
32.png,48,619,12.896,2.342
33.png,62,934,15.065,3.534
34.png,73,786,10.767,2.974
35.png,71,749,10.549,2.834
36.png,37,706,19.081,2.672
4.png,95,879,9.253,3.326
5.png,68,110,1.618,0.416
6.png,57,1312,23.018,4.965
7.png,21,678,32.286,2.566
8.png,33,1639,49.667,6.202
9.png,30,1222,40.733,4.624
