Slice,Count,Total Area,Average Size,%Area
1.png,15,54,3.600,0.204
10.png,21,64,3.048,0.242
11.png,22,100,4.545,0.378
12.png,52,515,9.904,1.949
13.png,70,284,4.057,1.075
14.png,115,422,3.670,1.597
15.png,47,100,2.128,0.378
16.png,30,92,3.067,0.348
17.png,51,263,5.157,0.995
18.png,39,121,3.103,0.458
19.png,17,40,2.353,0.151
2.png,24,75,3.125,0.284
20.png,130,1253,9.638,4.742
21.png,44,273,6.205,1.033
22.png,16,130,8.125,0.492
23.png,122,832,6.820,3.148
24.png,87,542,6.230,2.051
25.png,21,61,2.905,0.231
26.png,38,254,6.684,0.961
27.png,37,187,5.054,0.708
28.png,85,585,6.882,2.214
29.png,57,503,8.825,1.903
3.png,34,67,1.971,0.254
30.png,47,413,8.787,1.563
31.png,36,130,3.611,0.492
32.png,55,374,6.800,1.415
33.png,7,10,1.429,0.038
34.png,26,72,2.769,0.272
35.png,25,87,3.480,0.329
36.png,66,324,4.909,1.226
4.png,4,8,2.000,0.030
5.png,69,594,8.609,2.248
6.png,50,295,5.900,1.116
7.png,48,243,5.062,0.920
8.png,14,209,14.929,0.791
9.png,25,101,4.040,0.382
