Slice,Count,Total Area,Average Size,%Area
1.png,8,13,1.625,0.049
10.png,5,73,14.600,0.276
11.png,10,52,5.200,0.197
12.png,9,194,21.556,0.734
13.png,22,116,5.273,0.439
14.png,53,320,6.038,1.211
15.png,44,136,3.091,0.515
16.png,20,147,7.350,0.556
17.png,17,128,7.529,0.484
18.png,12,38,3.167,0.144
19.png,3,14,4.667,0.053
2.png,1,3,3.000,0.011
20.png,8,17,2.125,0.064
21.png,4,6,1.500,0.023
22.png,1,26426,26426.000,100.000
23.png,31,126,4.065,0.477
24.png,19,89,4.684,0.337
25.png,1,26426,26426.000,100.000
26.png,13,78,6.000,0.295
27.png,6,27,4.500,0.102
28.png,5,51,10.200,0.193
29.png,11,40,3.636,0.151
3.png,8,30,3.750,0.114
30.png,22,217,9.864,0.821
31.png,6,63,10.500,0.238
32.png,22,109,4.955,0.412
33.png,20,253,12.650,0.957
34.png,17,122,7.176,0.462
35.png,19,210,11.053,0.795
36.png,39,232,5.949,0.878
4.png,3,4,1.333,0.015
5.png,22,64,2.909,0.242
6.png,10,46,4.600,0.174
7.png,7,143,20.429,0.541
8.png,5,22,4.400,0.083
9.png,0,0,NaN,0.000
