Slice,Count,Total Area,Average Size,%Area
1.png,11,134,12.182,0.507
10.png,7,101,14.429,0.382
11.png,14,135,9.643,0.511
12.png,28,352,12.571,1.332
13.png,39,170,4.359,0.643
14.png,49,353,7.204,1.336
15.png,31,208,6.710,0.787
16.png,17,218,12.824,0.825
17.png,37,174,4.703,0.658
18.png,11,154,14.000,0.583
19.png,8,152,19.000,0.575
2.png,10,106,10.600,0.401
20.png,35,131,3.743,0.496
21.png,10,58,5.800,0.219
22.png,4,11,2.750,0.042
23.png,55,409,7.436,1.548
24.png,41,727,17.732,2.751
25.png,10,163,16.300,0.617
26.png,15,248,16.533,0.938
27.png,28,276,9.857,1.044
28.png,25,309,12.360,1.169
29.png,21,155,7.381,0.587
3.png,20,77,3.850,0.291
30.png,19,361,19.000,1.366
31.png,8,27,3.375,0.102
32.png,17,170,10.000,0.643
33.png,4,21,5.250,0.079
34.png,19,121,6.368,0.458
35.png,12,56,4.667,0.212
36.png,23,99,4.304,0.375
4.png,1,2,2.000,0.008
5.png,102,1116,10.941,4.223
6.png,37,269,7.270,1.018
7.png,20,220,11.000,0.833
8.png,29,280,9.655,1.060
9.png,8,142,17.750,0.537
