Slice,Count,Total Area,Average Size,%Area
1.png,50,6992,139.840,26.459
10.png,62,835,13.468,3.160
11.png,106,1559,14.708,5.899
12.png,77,1282,16.649,4.851
13.png,60,346,5.767,1.309
14.png,35,282,8.057,1.067
15.png,153,1023,6.686,3.871
16.png,94,434,4.617,1.642
17.png,79,552,6.987,2.089
18.png,121,1665,13.760,6.301
19.png,45,7481,166.244,28.309
2.png,101,2263,22.406,8.564
20.png,59,2192,37.153,8.295
21.png,95,3632,38.232,13.744
22.png,44,7756,176.273,29.350
23.png,87,1213,13.943,4.590
24.png,46,542,11.783,2.051
25.png,66,655,9.924,2.479
26.png,69,732,10.609,2.770
27.png,16,147,9.188,0.556
28.png,27,160,5.926,0.605
29.png,41,281,6.854,1.063
3.png,164,3278,19.988,12.404
30.png,51,381,7.471,1.442
31.png,71,340,4.789,1.287
32.png,65,512,7.877,1.937
33.png,114,2045,17.939,7.739
34.png,94,964,10.255,3.648
35.png,82,1057,12.890,4.000
36.png,54,237,4.389,0.897
4.png,35,8296,237.029,31.393
5.png,31,419,13.516,1.586
6.png,79,1525,19.304,5.771
7.png,44,377,8.568,1.427
8.png,48,1649,34.354,6.240
9.png,47,758,16.128,2.868
