Observations:			
			
Robert_Dyad10_A2D			
Independent variables:			
			
			
Time budget:			
Subject	Category	Total number	Total duration (s)
			
Dominant	Aggressive	7	0.000
Dominant	Reproductive	19	0.000
Dominant	Other	1	0.000
Subordinate	Reproductive	8	0.000
Subordinate	Other	4	0.000
