Slice,Count,Total Area,Average Size,%Area
1.png,28,258,9.214,0.485
10.png,36,368,10.222,0.692
11.png,6,143,23.833,0.269
12.png,11,180,16.364,0.338
13.png,2,24,12.000,0.045
14.png,9,48,5.333,0.090
15.png,3,8,2.667,0.015
16.png,2,14,7.000,0.026
17.png,34,298,8.765,0.560
18.png,8,52,6.500,0.098
19.png,16,422,26.375,0.793
2.png,11,405,36.818,0.761
20.png,8,40,5.000,0.075
21.png,1,1,1.000,0.002
22.png,1,1,1.000,0.002
23.png,6,14,2.333,0.026
24.png,4,4,1.000,0.008
25.png,8,40,5.000,0.075
26.png,23,226,9.826,0.425
27.png,1,53214,53214.000,100.000
28.png,1,53214,53214.000,100.000
29.png,41,126,3.073,0.237
3.png,5,8,1.600,0.015
30.png,23,366,15.913,0.688
31.png,12,55,4.583,0.103
32.png,9,13,1.444,0.024
33.png,18,251,13.944,0.472
34.png,19,71,3.737,0.133
35.png,2,5,2.500,0.009
36.png,12,25,2.083,0.047
37.png,32,302,9.438,0.568
38.png,41,357,8.707,0.671
39.png,31,194,6.258,0.365
4.png,14,64,4.571,0.120
40.png,7,41,5.857,0.077
41.png,5,19,3.800,0.036
42.png,7,35,5.000,0.066
43.png,82,396,4.829,0.744
44.png,13,138,10.615,0.259
45.png,26,869,33.423,1.633
46.png,8,28,3.500,0.053
47.png,34,768,22.588,1.443
48.png,45,1256,27.911,2.360
49.png,9,71,7.889,0.133
5.png,18,69,3.833,0.130
50.png,4,7,1.750,0.013
51.png,1,53214,53214.000,100.000
52.png,27,1126,41.704,2.116
53.png,45,1255,27.889,2.358
54.png,1,53214,53214.000,100.000
55.png,3,8,2.667,0.015
56.png,4,90,22.500,0.169
6.png,25,140,5.600,0.263
7.png,1,1,1.000,0.002
8.png,8,30,3.750,0.056
9.png,45,655,14.556,1.231
