Slice,Count,Total Area,Average Size,%Area
1.png,150,1558,10.387,2.928
10.png,55,304,5.527,0.571
11.png,37,334,9.027,0.628
12.png,59,596,10.102,1.120
13.png,88,235,2.670,0.442
14.png,67,132,1.970,0.248
15.png,3,5,1.667,0.009
16.png,33,53,1.606,0.100
17.png,54,122,2.259,0.229
18.png,75,226,3.013,0.425
19.png,17,69,4.059,0.130
2.png,17,43,2.529,0.081
20.png,147,598,4.068,1.124
21.png,29,221,7.621,0.415
22.png,39,3422,87.744,6.431
23.png,122,365,2.992,0.686
24.png,105,1194,11.371,2.244
25.png,147,598,4.068,1.124
26.png,95,240,2.526,0.451
27.png,173,983,5.682,1.847
28.png,149,2745,18.423,5.158
29.png,57,234,4.105,0.440
3.png,26,41,1.577,0.077
30.png,4,8,2.000,0.015
31.png,26,32,1.231,0.060
32.png,1,2,2.000,0.004
33.png,11,23,2.091,0.043
34.png,2,2,1.000,0.004
35.png,7,9,1.286,0.017
36.png,13,17,1.308,0.032
37.png,44,138,3.136,0.259
38.png,23,60,2.609,0.113
39.png,79,234,2.962,0.440
4.png,23,93,4.043,0.175
40.png,93,606,6.516,1.139
41.png,67,120,1.791,0.226
42.png,44,113,2.568,0.212
43.png,35,80,2.286,0.150
44.png,7,16,2.286,0.030
45.png,30,167,5.567,0.314
46.png,49,287,5.857,0.539
47.png,104,326,3.135,0.613
48.png,125,367,2.936,0.690
49.png,134,1883,14.052,3.539
5.png,8,11,1.375,0.021
50.png,195,1277,6.549,2.400
51.png,91,1476,16.220,2.774
52.png,72,206,2.861,0.387
53.png,125,367,2.936,0.690
54.png,245,759,3.098,1.426
55.png,71,232,3.268,0.436
56.png,92,2423,26.337,4.553
6.png,15,75,5.000,0.141
7.png,3,6,2.000,0.011
8.png,18,47,2.611,0.088
9.png,47,231,4.915,0.434
