Slice,Count,Total Area,Average Size,%Area
1.png,19,272,14.316,0.511
10.png,42,847,20.167,1.592
11.png,37,729,19.703,1.370
12.png,34,186,5.471,0.350
13.png,30,196,6.533,0.368
14.png,48,696,14.500,1.308
15.png,32,370,11.562,0.695
16.png,20,279,13.950,0.524
17.png,49,998,20.367,1.875
18.png,22,358,16.273,0.673
19.png,31,620,20.000,1.165
2.png,40,254,6.350,0.477
20.png,25,73,2.920,0.137
21.png,10,139,13.900,0.261
22.png,6,21,3.500,0.039
23.png,23,175,7.609,0.329
24.png,19,140,7.368,0.263
25.png,25,73,2.920,0.137
26.png,15,85,5.667,0.160
27.png,6,11,1.833,0.021
28.png,1,1,1.000,0.002
29.png,39,228,5.846,0.428
3.png,15,198,13.200,0.372
30.png,49,391,7.980,0.735
31.png,35,696,19.886,1.308
32.png,81,604,7.457,1.135
33.png,52,950,18.269,1.785
34.png,104,1113,10.702,2.092
35.png,65,860,13.231,1.616
36.png,27,278,10.296,0.522
37.png,26,393,15.115,0.739
38.png,89,1423,15.989,2.674
39.png,47,291,6.191,0.547
4.png,52,777,14.942,1.460
40.png,24,421,17.542,0.791
41.png,40,623,15.575,1.171
42.png,41,469,11.439,0.881
43.png,70,839,11.986,1.577
44.png,35,1111,31.743,2.088
45.png,47,895,19.043,1.682
46.png,14,77,5.500,0.145
47.png,66,533,8.076,1.002
48.png,54,529,9.796,0.994
49.png,26,180,6.923,0.338
5.png,89,1875,21.067,3.524
50.png,20,120,6.000,0.226
51.png,5,20,4.000,0.038
52.png,64,422,6.594,0.793
53.png,54,529,9.796,0.994
54.png,3,7,2.333,0.013
55.png,20,113,5.650,0.212
56.png,7,47,6.714,0.088
6.png,24,371,15.458,0.697
7.png,15,306,20.400,0.575
8.png,45,606,13.467,1.139
9.png,44,334,7.591,0.628
