Slice,Count,Total Area,Average Size,%Area
1.png,79,3613,45.734,6.790
10.png,130,2037,15.669,3.828
11.png,55,547,9.945,1.028
12.png,61,2297,37.656,4.317
13.png,84,605,7.202,1.137
14.png,64,830,12.969,1.560
15.png,8,16,2.000,0.030
16.png,54,751,13.907,1.411
17.png,119,2463,20.697,4.628
18.png,74,1887,25.500,3.546
19.png,51,1810,35.490,3.401
2.png,75,1088,14.507,2.045
20.png,94,1348,14.340,2.533
21.png,32,1000,31.250,1.879
22.png,49,1157,23.612,2.174
23.png,66,887,13.439,1.667
24.png,103,1595,15.485,2.997
25.png,94,1348,14.340,2.533
26.png,98,704,7.184,1.323
27.png,135,1020,7.556,1.917
28.png,130,1312,10.092,2.466
29.png,111,1161,10.459,2.182
3.png,101,359,3.554,0.675
30.png,63,653,10.365,1.227
31.png,74,1147,15.500,2.155
32.png,26,134,5.154,0.252
33.png,54,363,6.722,0.682
34.png,39,125,3.205,0.235
35.png,18,24,1.333,0.045
36.png,47,243,5.170,0.457
37.png,73,2252,30.849,4.232
38.png,95,789,8.305,1.483
39.png,80,2906,36.325,5.461
4.png,80,2106,26.325,3.958
40.png,62,1261,20.339,2.370
41.png,67,837,12.493,1.573
42.png,43,1578,36.698,2.965
43.png,95,469,4.937,0.881
44.png,23,753,32.739,1.415
45.png,81,3248,40.099,6.104
46.png,58,1131,19.500,2.125
47.png,181,1838,10.155,3.454
48.png,186,1567,8.425,2.945
49.png,141,2488,17.645,4.675
5.png,48,175,3.646,0.329
50.png,115,2405,20.913,4.519
51.png,76,1099,14.461,2.065
52.png,122,1008,8.262,1.894
53.png,186,1565,8.414,2.941
54.png,129,886,6.868,1.665
55.png,78,832,10.667,1.563
56.png,90,1459,16.211,2.742
6.png,61,1192,19.541,2.240
7.png,34,721,21.206,1.355
8.png,48,696,14.500,1.308
9.png,79,1962,24.835,3.687
