Slice,Count,Total Area,Average Size,%Area
1.png,0,0,NaN,0.000
10.png,148,862,5.824,1.620
11.png,71,425,5.986,0.799
12.png,47,173,3.681,0.325
13.png,36,197,5.472,0.370
14.png,116,1165,10.043,2.189
15.png,52,918,17.654,1.725
16.png,48,196,4.083,0.368
17.png,64,1018,15.906,1.913
18.png,65,328,5.046,0.616
19.png,51,1264,24.784,2.375
2.png,12,36,3.000,0.068
20.png,51,241,4.725,0.453
21.png,24,132,5.500,0.248
22.png,5,14,2.800,0.026
23.png,51,379,7.431,0.712
24.png,19,99,5.211,0.186
25.png,51,241,4.725,0.453
26.png,57,694,12.175,1.304
27.png,17,43,2.529,0.081
28.png,7,15,2.143,0.028
29.png,50,212,4.240,0.398
3.png,56,197,3.518,0.370
30.png,42,139,3.310,0.261
31.png,51,235,4.608,0.442
32.png,110,6222,56.564,11.692
33.png,162,2801,17.290,5.264
34.png,166,5121,30.849,9.623
35.png,105,2812,26.781,5.284
36.png,40,146,3.650,0.274
37.png,11,25,2.273,0.047
38.png,141,1941,13.766,3.648
39.png,29,54,1.862,0.101
4.png,70,292,4.171,0.549
40.png,52,242,4.654,0.455
41.png,71,454,6.394,0.853
42.png,61,417,6.836,0.784
43.png,125,1325,10.600,2.490
44.png,52,850,16.346,1.597
45.png,47,850,18.085,1.597
46.png,23,217,9.435,0.408
47.png,111,1551,13.973,2.915
48.png,110,1077,9.791,2.024
49.png,55,272,4.945,0.511
5.png,202,3339,16.530,6.275
50.png,47,161,3.426,0.303
51.png,18,55,3.056,0.103
52.png,86,1212,14.093,2.278
53.png,110,1077,9.791,2.024
54.png,37,118,3.189,0.222
55.png,40,475,11.875,0.893
56.png,24,62,2.583,0.117
6.png,67,173,2.582,0.325
7.png,10,17,1.700,0.032
8.png,113,622,5.504,1.169
9.png,40,397,9.925,0.746
