Slice,Count,Total Area,Average Size,%Area
1.png,143,6075,42.483,11.416
10.png,249,1542,6.193,2.898
11.png,371,3777,10.181,7.098
12.png,215,2114,9.833,3.973
13.png,467,3151,6.747,5.921
14.png,401,1481,3.693,2.783
15.png,168,3066,18.250,5.762
16.png,365,2096,5.742,3.939
17.png,218,1518,6.963,2.853
18.png,332,2072,6.241,3.894
19.png,169,1508,8.923,2.834
2.png,209,4164,19.923,7.825
20.png,347,2298,6.622,4.318
21.png,261,2628,10.069,4.939
22.png,117,5429,46.402,10.202
23.png,374,5064,13.540,9.516
24.png,210,3916,18.648,7.359
25.png,347,2298,6.622,4.318
26.png,395,3045,7.709,5.722
27.png,354,4449,12.568,8.361
28.png,294,3387,11.520,6.365
29.png,174,1481,8.511,2.783
3.png,420,4177,9.945,7.849
30.png,215,2298,10.688,4.318
31.png,271,3128,11.542,5.878
32.png,121,745,6.157,1.400
33.png,272,1201,4.415,2.257
34.png,107,582,5.439,1.094
35.png,164,1045,6.372,1.964
36.png,381,2509,6.585,4.715
37.png,247,4210,17.045,7.911
38.png,224,2397,10.701,4.504
39.png,243,4495,18.498,8.447
4.png,246,3727,15.150,7.004
40.png,265,3259,12.298,6.124
41.png,493,1784,3.619,3.353
42.png,323,3453,10.690,6.489
43.png,248,1611,6.496,3.027
44.png,160,1811,11.319,3.403
45.png,146,2150,14.726,4.040
46.png,319,2894,9.072,5.438
47.png,279,1007,3.609,1.892
48.png,287,1716,5.979,3.225
49.png,279,2031,7.280,3.817
5.png,158,1149,7.272,2.159
50.png,315,3680,11.683,6.915
51.png,228,3702,16.237,6.957
52.png,254,1733,6.823,3.257
53.png,287,1716,5.979,3.225
54.png,421,3812,9.055,7.164
55.png,330,4960,15.030,9.321
56.png,246,3142,12.772,5.904
6.png,253,3310,13.083,6.220
7.png,256,5609,21.910,10.540
8.png,316,3235,10.237,6.079
9.png,250,3569,14.276,6.707
