Slice,Count,Total Area,Average Size,%Area
1.png,1,1,1.000,0.002
10.png,7,18,2.571,0.034
11.png,21,93,4.429,0.175
12.png,14,68,4.857,0.128
13.png,35,57,1.629,0.107
14.png,4,7,1.750,0.013
15.png,8,17,2.125,0.032
16.png,7,9,1.286,0.017
17.png,0,0,NaN,0.000
18.png,26,99,3.808,0.186
19.png,1,2,2.000,0.004
2.png,13,31,2.385,0.058
20.png,4,7,1.750,0.013
21.png,2,15,7.500,0.028
22.png,6,48,8.000,0.090
23.png,27,61,2.259,0.115
24.png,15,213,14.200,0.400
25.png,4,7,1.750,0.013
26.png,13,81,6.231,0.152
27.png,11,20,1.818,0.038
28.png,30,60,2.000,0.113
29.png,28,103,3.679,0.194
3.png,21,34,1.619,0.064
30.png,3,4,1.333,0.008
31.png,4,6,1.500,0.011
32.png,4,4,1.000,0.008
33.png,4,8,2.000,0.015
34.png,3,3,1.000,0.006
35.png,5,7,1.400,0.013
36.png,13,15,1.154,0.028
37.png,10,24,2.400,0.045
38.png,17,45,2.647,0.085
39.png,26,213,8.192,0.400
4.png,12,27,2.250,0.051
40.png,25,69,2.760,0.130
41.png,27,54,2.000,0.101
42.png,22,37,1.682,0.070
43.png,16,66,4.125,0.124
44.png,0,0,NaN,0.000
45.png,5,8,1.600,0.015
46.png,46,176,3.826,0.331
47.png,15,21,1.400,0.039
48.png,17,81,4.765,0.152
49.png,19,271,14.263,0.509
5.png,2,6,3.000,0.011
50.png,23,84,3.652,0.158
51.png,21,79,3.762,0.148
52.png,8,12,1.500,0.023
53.png,17,81,4.765,0.152
54.png,52,323,6.212,0.607
55.png,31,114,3.677,0.214
56.png,24,84,3.500,0.158
6.png,2,3,1.500,0.006
7.png,6,32,5.333,0.060
8.png,5,8,1.600,0.015
9.png,30,123,4.100,0.231
