Slice,Count,Total Area,Average Size,%Area
1.png,1,53214,53214.000,100.000
10.png,2,17,8.500,0.032
11.png,2,2,1.000,0.004
12.png,2,2,1.000,0.004
13.png,7,12,1.714,0.023
14.png,1,53214,53214.000,100.000
15.png,2,6,3.000,0.011
16.png,1,53214,53214.000,100.000
17.png,1,53214,53214.000,100.000
18.png,12,19,1.583,0.036
19.png,1,53214,53214.000,100.000
2.png,1,53214,53214.000,100.000
20.png,1,53214,53214.000,100.000
21.png,1,53214,53214.000,100.000
22.png,1,2,2.000,0.004
23.png,1,53214,53214.000,100.000
24.png,1,53214,53214.000,100.000
25.png,1,53214,53214.000,100.000
26.png,16,87,5.438,0.163
27.png,2,6,3.000,0.011
28.png,1,53214,53214.000,100.000
29.png,13,32,2.462,0.060
3.png,0,0,NaN,0.000
30.png,2,17,8.500,0.032
31.png,2,8,4.000,0.015
32.png,1,53214,53214.000,100.000
33.png,1,53214,53214.000,100.000
34.png,1,1,1.000,0.002
35.png,0,0,NaN,0.000
36.png,1,2,2.000,0.004
37.png,1,53214,53214.000,100.000
38.png,1,53214,53214.000,100.000
39.png,4,19,4.750,0.036
4.png,0,0,NaN,0.000
40.png,1,53214,53214.000,100.000
41.png,1,53214,53214.000,100.000
42.png,1,53214,53214.000,100.000
43.png,7,16,2.286,0.030
44.png,0,0,NaN,0.000
45.png,1,53214,53214.000,100.000
46.png,12,33,2.750,0.062
47.png,2,5,2.500,0.009
48.png,1,53214,53214.000,100.000
49.png,1,1,1.000,0.002
5.png,1,53214,53214.000,100.000
50.png,1,2,2.000,0.004
51.png,1,1,1.000,0.002
52.png,1,53214,53214.000,100.000
53.png,1,53214,53214.000,100.000
54.png,7,15,2.143,0.028
55.png,3,5,1.667,0.009
56.png,5,31,6.200,0.058
6.png,1,53214,53214.000,100.000
7.png,3,12,4.000,0.023
8.png,0,0,NaN,0.000
9.png,5,15,3.000,0.028
