Slice,Count,Total Area,Average Size,%Area
1.png,6,8,1.333,0.030
10.png,3,3,1.000,0.011
11.png,4,8,2.000,0.030
12.png,44,159,3.614,0.602
13.png,82,267,3.256,1.010
14.png,37,162,4.378,0.613
15.png,150,2381,15.873,9.010
16.png,68,284,4.176,1.075
17.png,75,265,3.533,1.003
18.png,41,153,3.732,0.579
19.png,10,24,2.400,0.091
2.png,12,22,1.833,0.083
20.png,1,4,4.000,0.015
21.png,13,32,2.462,0.121
22.png,14,24,1.714,0.091
23.png,2,3,1.500,0.011
24.png,17,32,1.882,0.121
25.png,41,166,4.049,0.628
26.png,3,24,8.000,0.091
27.png,1,3,3.000,0.011
28.png,6,11,1.833,0.042
29.png,9,42,4.667,0.159
3.png,7,10,1.429,0.038
30.png,21,114,5.429,0.431
31.png,29,159,5.483,0.602
32.png,31,88,2.839,0.333
33.png,109,432,3.963,1.635
34.png,29,96,3.310,0.363
35.png,14,29,2.071,0.110
36.png,26,53,2.038,0.201
4.png,3,4,1.333,0.015
5.png,22,67,3.045,0.254
6.png,2,3,1.500,0.011
7.png,6,48,8.000,0.182
8.png,12,42,3.500,0.159
9.png,3,5,1.667,0.019
