Slice,Count,Total Area,Average Size,%Area
1.png,15,65,4.333,0.246
10.png,4,10,2.500,0.038
11.png,14,474,33.857,1.794
12.png,10,48,4.800,0.182
13.png,2,3,1.500,0.011
14.png,1,26426,26426.000,100.000
15.png,3,10,3.333,0.038
16.png,14,111,7.929,0.420
17.png,9,21,2.333,0.079
18.png,6,39,6.500,0.148
19.png,16,63,3.938,0.238
2.png,11,90,8.182,0.341
20.png,6,72,12.000,0.272
21.png,12,54,4.500,0.204
22.png,7,143,20.429,0.541
23.png,6,209,34.833,0.791
24.png,7,14,2.000,0.053
25.png,5,31,6.200,0.117
26.png,3,13,4.333,0.049
27.png,1,27,27.000,0.102
28.png,3,15,5.000,0.057
29.png,13,43,3.308,0.163
3.png,14,212,15.143,0.802
30.png,9,60,6.667,0.227
31.png,2,4,2.000,0.015
32.png,1,26426,26426.000,100.000
33.png,4,11,2.750,0.042
34.png,13,63,4.846,0.238
35.png,1,1,1.000,0.004
36.png,7,17,2.429,0.064
4.png,14,34,2.429,0.129
5.png,12,31,2.583,0.117
6.png,9,25,2.778,0.095
7.png,6,6,1.000,0.023
8.png,8,18,2.250,0.068
9.png,0,0,NaN,0.000
