Slice,Count,Total Area,Average Size,%Area
1.png,36,268,7.444,1.014
10.png,18,922,51.222,3.489
11.png,34,1913,56.265,7.239
12.png,12,146,12.167,0.552
13.png,1,1,1.000,0.004
14.png,1,11,11.000,0.042
15.png,1,26426,26426.000,100.000
16.png,20,104,5.200,0.394
17.png,14,153,10.929,0.579
18.png,30,296,9.867,1.120
19.png,8,48,6.000,0.182
2.png,98,2256,23.020,8.537
20.png,44,542,12.318,2.051
21.png,105,575,5.476,2.176
22.png,42,240,5.714,0.908
23.png,48,1700,35.417,6.433
24.png,29,690,23.793,2.611
25.png,7,46,6.571,0.174
26.png,17,1272,74.824,4.813
27.png,16,503,31.438,1.903
28.png,22,427,19.409,1.616
29.png,25,743,29.720,2.812
3.png,56,747,13.339,2.827
30.png,14,121,8.643,0.458
31.png,40,1022,25.550,3.867
32.png,38,798,21.000,3.020
33.png,27,155,5.741,0.587
34.png,15,151,10.067,0.571
35.png,34,1366,40.176,5.169
36.png,36,439,12.194,1.661
4.png,85,876,10.306,3.315
5.png,39,953,24.436,3.606
6.png,56,941,16.804,3.561
7.png,19,134,7.053,0.507
8.png,25,919,36.760,3.478
9.png,14,531,37.929,2.009
