Slice,Count,Total Area,Average Size,%Area
1.png,65,254,3.908,0.961
10.png,60,137,2.283,0.518
11.png,53,330,6.226,1.249
12.png,43,175,4.070,0.662
13.png,46,91,1.978,0.344
14.png,53,174,3.283,0.658
15.png,49,165,3.367,0.624
16.png,57,131,2.298,0.496
17.png,63,547,8.683,2.070
18.png,62,130,2.097,0.492
19.png,57,709,12.439,2.683
2.png,45,143,3.178,0.541
20.png,43,949,22.070,3.591
21.png,64,850,13.281,3.217
22.png,76,555,7.303,2.100
23.png,54,102,1.889,0.386
24.png,28,281,10.036,1.063
25.png,13,100,7.692,0.378
26.png,46,517,11.239,1.956
27.png,43,209,4.860,0.791
28.png,57,307,5.386,1.162
29.png,35,734,20.971,2.778
3.png,67,279,4.164,1.056
30.png,74,296,4.000,1.120
31.png,73,196,2.685,0.742
32.png,49,116,2.367,0.439
33.png,42,206,4.905,0.780
34.png,57,211,3.702,0.798
35.png,33,299,9.061,1.131
36.png,42,701,16.690,2.653
4.png,54,73,1.352,0.276
5.png,47,298,6.340,1.128
6.png,57,361,6.333,1.366
7.png,1,1,1.000,0.004
8.png,16,211,13.188,0.798
9.png,46,108,2.348,0.409
