Slice,Count,Total Area,Average Size,%Area
1.png,67,454,6.776,1.718
10.png,49,163,3.327,0.617
11.png,61,223,3.656,0.844
12.png,77,642,8.338,2.429
13.png,100,1226,12.260,4.639
14.png,86,353,4.105,1.336
15.png,179,2216,12.380,8.386
16.png,123,1257,10.220,4.757
17.png,122,1002,8.213,3.792
18.png,124,581,4.685,2.199
19.png,134,382,2.851,1.446
2.png,35,278,7.943,1.052
20.png,20,49,2.450,0.185
21.png,73,297,4.068,1.124
22.png,101,332,3.287,1.256
23.png,26,147,5.654,0.556
24.png,97,547,5.639,2.070
25.png,104,923,8.875,3.493
26.png,19,94,4.947,0.356
27.png,37,188,5.081,0.711
28.png,56,563,10.054,2.130
29.png,60,145,2.417,0.549
3.png,52,166,3.192,0.628
30.png,72,578,8.028,2.187
31.png,119,548,4.605,2.074
32.png,76,349,4.592,1.321
33.png,126,854,6.778,3.232
34.png,92,377,4.098,1.427
35.png,48,102,2.125,0.386
36.png,98,483,4.929,1.828
4.png,50,274,5.480,1.037
5.png,103,376,3.650,1.423
6.png,14,46,3.286,0.174
7.png,66,1337,20.258,5.059
8.png,75,537,7.160,2.032
9.png,43,238,5.535,0.901
