Slice,Count,Total Area,Average Size,%Area
1.png,13,28,2.154,0.106
10.png,8,49,6.125,0.185
11.png,15,44,2.933,0.167
12.png,56,1570,28.036,5.941
13.png,129,1025,7.946,3.879
14.png,43,373,8.674,1.411
15.png,204,952,4.667,3.603
16.png,89,1502,16.876,5.684
17.png,77,1679,21.805,6.354
18.png,62,393,6.339,1.487
19.png,28,76,2.714,0.288
2.png,6,9,1.500,0.034
20.png,1,26426,26426.000,100.000
21.png,21,33,1.571,0.125
22.png,21,35,1.667,0.132
23.png,2,2,1.000,0.008
24.png,58,133,2.293,0.503
25.png,97,1017,10.485,3.848
26.png,11,40,3.636,0.151
27.png,9,30,3.333,0.114
28.png,26,111,4.269,0.420
29.png,29,56,1.931,0.212
3.png,1,1,1.000,0.004
30.png,63,523,8.302,1.979
31.png,64,249,3.891,0.942
32.png,67,241,3.597,0.912
33.png,135,695,5.148,2.630
34.png,49,236,4.816,0.893
35.png,30,99,3.300,0.375
36.png,62,189,3.048,0.715
4.png,12,20,1.667,0.076
5.png,49,110,2.245,0.416
6.png,7,17,2.429,0.064
7.png,63,511,8.111,1.934
8.png,53,186,3.509,0.704
9.png,13,44,3.385,0.167
