Slice,Count,Total Area,Average Size,%Area
1.png,61,1831,30.016,6.929
10.png,74,826,11.162,3.126
11.png,42,1532,36.476,5.797
12.png,9,79,8.778,0.299
13.png,2,4,2.000,0.015
14.png,15,65,4.333,0.246
15.png,1,13,13.000,0.049
16.png,28,111,3.964,0.420
17.png,13,68,5.231,0.257
18.png,4,13,3.250,0.049
19.png,27,207,7.667,0.783
2.png,72,3281,45.569,12.416
20.png,39,1861,47.718,7.042
21.png,72,1485,20.625,5.619
22.png,32,999,31.219,3.780
23.png,85,1824,21.459,6.902
24.png,50,1252,25.040,4.738
25.png,19,527,27.737,1.994
26.png,37,1184,32.000,4.480
27.png,43,1936,45.023,7.326
28.png,47,543,11.553,2.055
29.png,64,1010,15.781,3.822
3.png,80,1260,15.750,4.768
30.png,26,398,15.308,1.506
31.png,40,487,12.175,1.843
32.png,57,518,9.088,1.960
33.png,47,370,7.872,1.400
34.png,36,180,5.000,0.681
35.png,66,644,9.758,2.437
36.png,52,491,9.442,1.858
4.png,76,1816,23.895,6.872
5.png,109,817,7.495,3.092
6.png,64,2360,36.875,8.931
7.png,28,141,5.036,0.534
8.png,55,723,13.145,2.736
9.png,51,1228,24.078,4.647
