Slice,Count,Total Area,Average Size,%Area
1.png,19,139,7.316,0.526
10.png,27,295,10.926,1.116
11.png,26,235,9.038,0.889
12.png,10,84,8.400,0.318
13.png,19,124,6.526,0.469
14.png,22,222,10.091,0.840
15.png,12,46,3.833,0.174
16.png,29,253,8.724,0.957
17.png,20,208,10.400,0.787
18.png,14,108,7.714,0.409
19.png,35,774,22.114,2.929
2.png,17,25,1.471,0.095
20.png,19,177,9.316,0.670
21.png,21,89,4.238,0.337
22.png,21,144,6.857,0.545
23.png,5,7,1.400,0.026
24.png,23,91,3.957,0.344
25.png,53,524,9.887,1.983
26.png,7,261,37.286,0.988
27.png,6,130,21.667,0.492
28.png,23,241,10.478,0.912
29.png,30,98,3.267,0.371
3.png,8,59,7.375,0.223
30.png,29,162,5.586,0.613
31.png,29,416,14.345,1.574
32.png,21,80,3.810,0.303
33.png,32,222,6.938,0.840
34.png,53,519,9.792,1.964
35.png,36,187,5.194,0.708
36.png,15,167,11.133,0.632
4.png,13,62,4.769,0.235
5.png,89,521,5.854,1.972
6.png,34,300,8.824,1.135
7.png,21,648,30.857,2.452
8.png,39,664,17.026,2.513
9.png,19,180,9.474,0.681
