147,237
146,237
146,239
145,239
145,240
144,240
144,241
143,241
143,242
142,242
142,243
141,243
141,244
139,244
139,245
129,245
129,244
127,244
127,243
126,243
126,242
125,242
125,241
124,241
124,240
123,240
123,239
122,239
122,237
121,237
121,233
120,233
120,232
121,232
121,228
122,228
122,226
123,226
123,225
124,225
124,224
125,224
125,223
126,223
126,222
127,222
127,221
129,221
129,220
139,220
139,221
141,221
141,222
142,222
142,223
143,223
143,224
144,224
144,225
145,225
145,226
146,226
146,228
147,228
147,232
148,232
148,233
147,233
