Observation id	Dyad.12.A2C.Nuzhat							
								
Media file(s)								
								
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX020555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX030555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX040555.MP4							
								
Observation date	2023-08-03 13:34:57							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
44.443	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
46.943	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
46.947	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
49.694	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
49.694	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
50.451	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
50.951	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
51.696	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
51.702	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
51.956	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
53.203	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
53.203	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
55.949	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
55.963	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
56.957	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
56.966	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
57.958	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
58.459	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
61.961	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
64.467	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
64.714	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
64.958	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
64.967	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
66.967	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
68.962	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
68.962	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
69.719	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
71.971	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
71.972	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
75.722	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
75.967	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
75.974	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
76.723	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
78.729	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
79.739	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
84.231	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
84.980	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
86.736	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
87.487	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
87.726	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
87.738	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
89.988	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
89.990	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
98.725	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
98.748	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
100.490	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
100.750	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
