Observation id	tasnia.jennifer.dyad9.a2b							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH040530.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH050530.MP4							
								
Observation date	2023-03-30 15:06:24							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1053.201	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1057.204	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1064.954	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1066.950	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1071.452	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1074.702	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1076.452	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1081.952	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1084.454	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1088.704	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1096.245	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	head on head fight	Aggressive		POINT
1099.497	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Lateral Side Display	Aggressive		POINT
1101.761	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Quiver Male	Aggressive		POINT
1104.261	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1107.261	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1108.509	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1109.261	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1110.007	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1112.009	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1117.509	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1119.761	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1120.509	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1122.513	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1126.257	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1126.757	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1128.511	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1136.197	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1153.781	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1161.761	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Dig Pot/Substrate	Reproductive		POINT
1201.511	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1201.511	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1205.007	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1206.511	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1215.011	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1286.665	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1286.945	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1294.665	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1307.165	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1313.165	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Circle	Reproductive		POINT
1313.945	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1322.663	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1324.917	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1329.697	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1332.423	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1334.835	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1336.653	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1338.605	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1342.447	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1361.259	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1364.519	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1366.014	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1368.514	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1368.514	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	bite female	Reproductive		POINT
1372.030	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1383.778	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1399.530	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1413.778	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH020530.MP4	2862.960	59.94	Dominant	Dig Pot/Substrate	Reproductive		POINT
1420.586	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1421.338	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1422.838	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1423.586	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1426.588	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1434.000	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1434.834	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1438.338	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1442.838	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1512.830	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1518.435	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1518.602	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1518.902	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Lateral Side Display	Aggressive		POINT
1529.947	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1530.445	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Bite	Aggressive		POINT
1547.339	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
1550.199	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Male	Aggressive		POINT
1557.259	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1583.707	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1584.465	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Chases Female	Aggressive		POINT
1597.582	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH030530.MP4	2862.960	59.94	Dominant	Foraging	Other		POINT
