Observation id	Daniel_Dyad10_A1B							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX020538.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX030538.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX040538.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX050538.MP4							
								
Observation date	2023-05-04 14:18:35							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
426.102	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Male	Aggressive		POINT
426.102	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Flee	Other		POINT
467.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Chases Female	Aggressive		POINT
470.391	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Bite	Aggressive		POINT
474.627	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
476.766	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Male	Aggressive		POINT
476.766	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Flee	Other		POINT
478.892	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
483.851	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Chases Female	Aggressive		POINT
484.388	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
488.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Chases Female	Aggressive		POINT
490.891	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Bite	Aggressive		POINT
494.150	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
503.161	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
514.167	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Male	Aggressive		POINT
514.167	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Subordinate	Flee	Other		POINT
519.980	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
523.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
524.939	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.080	59.94	Dominant	Chases Female	Aggressive		POINT
